item_id,d_c,is_correct,source
OlympiadBench_865,1,0,pilot258
OlympiadBench_866,1,0,pilot258
OlympiadBench_868,0,0,pilot258
OlympiadBench_869,0,1,pilot258
OlympiadBench_870,0,0,pilot258
OlympiadBench_871,0,0,pilot258
OlympiadBench_872,0,1,pilot258
OlympiadBench_873,0,1,pilot258
OlympiadBench_876,1,0,pilot258
OlympiadBench_877,1,0,pilot258
OlympiadBench_878,0,0,pilot258
OlympiadBench_881,1,0,pilot258
OlympiadBench_883,1,0,pilot258
OlympiadBench_884,1,1,pilot258
OlympiadBench_885,2,0,pilot258
OlympiadBench_888,1,0,pilot258
OlympiadBench_890,0,0,pilot258
OlympiadBench_891,1,0,pilot258
OlympiadBench_893,1,0,pilot258
OlympiadBench_894,1,0,pilot258
OlympiadBench_897,2,0,pilot258
OlympiadBench_898,0,1,pilot258
OlympiadBench_899,2,0,pilot258
OlympiadBench_900,0,0,pilot258
OlympiadBench_901,1,0,pilot258
OlympiadBench_902,1,0,pilot258
OlympiadBench_903,0,1,pilot258
OlympiadBench_905,1,1,pilot258
OlympiadBench_907,0,0,pilot258
OlympiadBench_908,1,0,pilot258
OlympiadBench_909,0,0,pilot258
OlympiadBench_910,3,0,pilot258
OlympiadBench_911,0,0,pilot258
OlympiadBench_912,1,0,pilot258
OlympiadBench_915,1,0,pilot258
OlympiadBench_917,1,0,pilot258
OlympiadBench_918,0,0,pilot258
OlympiadBench_919,1,0,pilot258
OlympiadBench_922,1,0,pilot258
OlympiadBench_923,1,0,pilot258
OlympiadBench_926,1,0,pilot258
OlympiadBench_928,2,0,pilot258
OlympiadBench_929,1,0,pilot258
OlympiadBench_936,0,0,pilot258
OlympiadBench_939,0,0,pilot258
OlympiadBench_940,0,0,pilot258
OlympiadBench_941,0,1,pilot258
OlympiadBench_942,0,1,pilot258
OlympiadBench_944,1,1,pilot258
OlympiadBench_947,1,1,pilot258
OlympiadBench_949,0,0,pilot258
OlympiadBench_954,0,0,pilot258
OlympiadBench_955,0,0,pilot258
OlympiadBench_956,1,0,pilot258
OlympiadBench_957,0,0,pilot258
OlympiadBench_972,0,0,pilot258
OlympiadBench_973,0,1,pilot258
OlympiadBench_974,0,0,pilot258
OlympiadBench_982,0,1,pilot258
OlympiadBench_984,1,0,pilot258
OlympiadBench_985,1,0,pilot258
OlympiadBench_986,0,0,pilot258
OlympiadBench_987,2,1,pilot258
OlympiadBench_988,1,0,pilot258
OlympiadBench_989,1,0,pilot258
OlympiadBench_1006,1,0,pilot258
OlympiadBench_1012,0,0,pilot258
OlympiadBench_1013,0,0,pilot258
OlympiadBench_1014,1,0,pilot258
OlympiadBench_1015,1,0,pilot258
OlympiadBench_1016,0,0,pilot258
OlympiadBench_1017,0,0,pilot258
OlympiadBench_1018,1,0,pilot258
OlympiadBench_1050,1,1,pilot258
OlympiadBench_1051,1,0,pilot258
OlympiadBench_1052,1,0,pilot258
OlympiadBench_1053,1,0,pilot258
OlympiadBench_1054,0,0,pilot258
OlympiadBench_1060,0,0,pilot258
OlympiadBench_1061,0,0,pilot258
OlympiadBench_1062,0,0,pilot258
OlympiadBench_1063,0,0,pilot258
OlympiadBench_1064,0,0,pilot258
OlympiadBench_1065,0,0,pilot258
OlympiadBench_1066,0,0,pilot258
OlympiadBench_1067,0,0,pilot258
OlympiadBench_1068,1,1,pilot258
OlympiadBench_1069,0,0,pilot258
OlympiadBench_1070,1,1,pilot258
OlympiadBench_1071,1,0,pilot258
OlympiadBench_1072,1,1,pilot258
OlympiadBench_1073,1,0,pilot258
OlympiadBench_1097,4,0,pilot258
OlympiadBench_1098,1,0,pilot258
OlympiadBench_1099,1,0,pilot258
OlympiadBench_1101,0,0,pilot258
PhysReason_cal_problem_00069,2,0,pilot258
PhysReason_cal_problem_00224,1,0,pilot258
PhysReason_cal_problem_00252,0,0,pilot258
PhysReason_cal_problem_00272,1,0,pilot258
PhysReason_cal_problem_00273,0,0,pilot258
PhysReason_cal_problem_00340,1,0,pilot258
PhysReason_cal_problem_00346,1,0,pilot258
PhysReason_cal_problem_00365,0,1,pilot258
PhysReason_cal_problem_00418,0,0,pilot258
PhysReason_cal_problem_00419,0,0,pilot258
PhysReason_cal_problem_00432,0,0,pilot258
PhysReason_cal_problem_00575,0,0,pilot258
PhysReason_cal_problem_00577,1,0,pilot258
PhysReason_cal_problem_00665,2,0,pilot258
PhysReason_cal_problem_00701,0,0,pilot258
PhysReason_cal_problem_00736,0,0,pilot258
PhysReason_cal_problem_00840,0,1,pilot258
PhysReason_cal_problem_00906,0,1,pilot258
PhysReason_cal_problem_00915,0,1,pilot258
PhysReason_cal_problem_00945,1,0,pilot258
PhysReason_cal_problem_01098,0,0,pilot258
PhysReason_cal_problem_01115,0,0,pilot258
PhysReason_cal_problem_01184,0,0,pilot258
PhysReason_cal_problem_01211,0,0,pilot258
PhysReason_cal_problem_01276,0,0,pilot258
PhysReason_cal_problem_01375,0,0,pilot258
PhysReason_cal_problem_01390,2,0,pilot258
PhysReason_cal_problem_01469,0,0,pilot258
PhysReason_cal_problem_01515,0,1,pilot258
PhysReason_comp_problem_4,0,0,pilot258
PhysReason_comp_problem_95,3,0,pilot258
OlympiadBench_1324,0,0,highdc100
OlympiadBench_1502,2,0,highdc100
OlympiadBench_1441,4,0,highdc100
OlympiadBench_1432,2,0,highdc100
OlympiadBench_1436,2,0,highdc100
OlympiadBench_1393,0,0,highdc100
OlympiadBench_1475,2,1,highdc100
OlympiadBench_1223,1,0,highdc100
OlympiadBench_1400,2,0,highdc100
OlympiadBench_1434,2,1,highdc100
OlympiadBench_1224,1,0,highdc100
OlympiadBench_1396,1,0,highdc100
OlympiadBench_1325,0,0,highdc100
OlympiadBench_1359,1,1,highdc100
OlympiadBench_1420,1,1,highdc100
OlympiadBench_1355,1,1,highdc100
OlympiadBench_1462,1,1,highdc100
OlympiadBench_1367,1,0,highdc100
OlympiadBench_1395,0,0,highdc100
OlympiadBench_1477,2,0,highdc100
OlympiadBench_1427,0,1,highdc100
OlympiadBench_1460,3,0,highdc100
OlympiadBench_1493,1,0,highdc100
OlympiadBench_1178,1,0,highdc100
OlympiadBench_1366,1,0,highdc100
OlympiadBench_1430,1,0,highdc100
OlympiadBench_1213,1,0,highdc100
OlympiadBench_1215,2,1,highdc100
OlympiadBench_1117,2,0,highdc100
OlympiadBench_1341,1,0,highdc100
OlympiadBench_1363,0,1,highdc100
OlympiadBench_1492,1,0,highdc100
OlympiadBench_1488,0,1,highdc100
OlympiadBench_1356,1,0,highdc100
OlympiadBench_1214,1,1,highdc100
OlympiadBench_1354,0,0,highdc100
OlympiadBench_1565,1,1,highdc100
OlympiadBench_1176,1,0,highdc100
OlympiadBench_1364,0,0,highdc100
OlympiadBench_1402,1,0,highdc100
OlympiadBench_1431,1,0,highdc100
OlympiadBench_1217,1,0,highdc100
OlympiadBench_1442,0,0,highdc100
OlympiadBench_1443,1,0,highdc100
OlympiadBench_1461,0,0,highdc100
OlympiadBench_1428,0,0,highdc100
OlympiadBench_1429,1,0,highdc100
OlympiadBench_1435,1,0,highdc100
OlympiadBench_1597,0,1,highdc100
OlympiadBench_1163,1,1,highdc100
PhysReason_comp_problem_93,1,0,highdc100
PhysReason_comp_problem_86,1,0,highdc100
PhysReason_comp_problem_94,2,0,highdc100
PhysReason_cal_problem_00027,2,1,highdc100
PhysReason_cal_problem_00325,1,0,highdc100
PhysReason_cal_problem_00012,2,0,highdc100
PhysReason_cal_problem_00880,1,1,highdc100
PhysReason_comp_problem_84,2,0,highdc100
PhysReason_cal_problem_00633,2,1,highdc100
PhysReason_cal_problem_01497,2,0,highdc100
PhysReason_cal_problem_01555,2,1,highdc100
PhysReason_cal_problem_01040,2,1,highdc100
PhysReason_cal_problem_00510,1,0,highdc100
PhysReason_cal_problem_01597,1,1,highdc100
PhysReason_comp_problem_99,3,0,highdc100
PhysReason_comp_problem_87,4,1,highdc100
PhysReason_cal_problem_00486,1,1,highdc100
PhysReason_comp_problem_102,1,0,highdc100
PhysReason_cal_problem_01031,2,1,highdc100
PhysReason_cal_problem_00078,1,0,highdc100
PhysReason_cal_problem_00281,1,0,highdc100
PhysReason_cal_problem_00487,1,0,highdc100
PhysReason_comp_problem_82,1,0,highdc100
PhysReason_comp_problem_85,2,0,highdc100
PhysReason_cal_problem_00092,2,1,highdc100
PhysReason_comp_problem_81,1,1,highdc100
PhysReason_cal_problem_00019,1,1,highdc100
PhysReason_cal_problem_00230,2,0,highdc100
PhysReason_cal_problem_00502,1,1,highdc100
PhysReason_cal_problem_00634,2,0,highdc100
PhysReason_cal_problem_00099,0,0,highdc100
PhysReason_cal_problem_00291,2,1,highdc100
PhysReason_cal_problem_00336,1,0,highdc100
PhysReason_cal_problem_00669,1,0,highdc100
PhysReason_cal_problem_01329,0,1,highdc100
PhysReason_comp_problem_96,1,0,highdc100
PhysReason_cal_problem_00067,1,0,highdc100
PhysReason_cal_problem_00513,1,1,highdc100
PhysReason_cal_problem_01114,1,1,highdc100
PhysReason_cal_problem_01171,0,1,highdc100
PhysReason_cal_problem_01192,1,1,highdc100
PhysReason_cal_problem_01321,1,1,highdc100
PhysReason_cal_problem_01323,2,1,highdc100
PhysReason_cal_problem_01330,2,1,highdc100
PhysReason_cal_problem_01343,1,0,highdc100
PhysReason_cal_problem_01367,0,0,highdc100
PhysReason_cal_problem_01391,2,1,highdc100
PhysReason_cal_problem_01443,1,1,highdc100
PhysReason_cal_problem_01492,1,0,highdc100
PhysReason_cal_problem_01541,1,1,highdc100
