item_id,source_benchmark,topic,d_c,model_label,judge_route,is_correct,valid,solve_error,judge_error,tokens_out,judge_reason
OlympiadBench_1367,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,571,"Student answer is positive 50 MeV, but gold answer is -56 (negative, likely MeV), indicating mismatch in sign and magnit"
OlympiadBench_1395,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,353,The student's answer of 1/2 E_0 does not match the gold answer of (1/3)α E_0.
OlympiadBench_1477,OlympiadBench,Physics,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,349,Student's answer misses sinθ factor and has square root instead of linear denominator.
OlympiadBench_1427,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,412,"The student's final answer matches the gold answer exactly, and both forms are algebraically equivalent."
OlympiadBench_1493,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,237,"The student's answer is a different expression not matching the gold answer which involves parameters like c, L_sun, Q, "
OlympiadBench_1178,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,719,Student provided numerical estimates instead of the symbolic expression required.
OlympiadBench_1366,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,"The student's derived α depends on E0 and has incorrect powers of c, while the gold answer is independent of initial ene"
OlympiadBench_1430,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,189,Student did not provide the required expression with both kinetic and potential energy terms.
OlympiadBench_1213,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,105,Student's non-relativistic formula does not match the required relativistic expression.
OlympiadBench_1215,OlympiadBench,Physics,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,611,Numerical value 5.43 T does not match gold answer 5.50 T.
OlympiadBench_1117,OlympiadBench,Physics,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,392,Student's answer does not match the gold answer; it lacks the external impedance term and constant factors differ.
OlympiadBench_1341,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,230,"The student's answer is the constant dry adiabatic lapse rate g/c_p, but the gold answer includes an additional factor T"
OlympiadBench_1363,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,139,The student's final answer is algebraically equivalent to the gold answer.
OlympiadBench_1492,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,417,"Student's answer missing negative sign, Q factor, and has different radial dependence (1/r vs r^2)."
OlympiadBench_1488,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,110,The student's final answer matches the gold answer exactly.
OlympiadBench_1356,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,166,The student's answer β=1 does not match the gold answer β=-1/2.
OlympiadBench_1214,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,408,"The student's numerical result matches the gold answer, and the derived expression is equivalent to the second expressio"
OlympiadBench_1354,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,614,Student's alpha includes an extra factor of 1/M1 in denominator.
OlympiadBench_1565,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,232,"Student answer is algebraically equivalent to gold answer, with the same expression for the electric field in vector for"
OlympiadBench_1176,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,283,"Student's answer uses gravitational potential energy, whereas gold answer derives from isothermal compression work; expr"
OlympiadBench_1364,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,411,"Student's answer 660 MeV/c is double the gold answer 330, indicating an error in calculation."
OlympiadBench_1402,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,218,"Gold answer is a symbolic expression, student provided a numerical estimate."
OlympiadBench_1431,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,150,The student did not provide the required expression for T'.
OlympiadBench_1217,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Student's response is incomplete and does not provide a final numerical answer to compare with gold answer.
OlympiadBench_1442,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,220,Student's value 1.17e-3 eV differs from gold answer 0.00112 eV by ~4.5%.
OlympiadBench_1443,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,601,"The student's answer of 6.8e14 eV is many orders of magnitude lower than the gold answer of 1.4e20 eV, indicating a calc"
OlympiadBench_1461,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,93,Student's answer of 0.6 does not match gold answer of 0.077 P.
OlympiadBench_1429,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,246,Student gave a generic placeholder P_interior instead of the specific expression NkT/V - a' N^2/V^2.
OlympiadBench_1435,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,219,Student gave an expression in terms of variables instead of the numerical value 100.
OlympiadBench_1163,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,640,The student's final expressions for z0 and k match the gold answer.
PhysReason_comp_problem_93,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,"The STUDENT's expressions for total energy, temperature change, and entropy change differ from the GOLD answers (e.g., s"
PhysReason_comp_problem_94,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,"Student used initial temperatures 100K and 300K, but gold answer expects 100K and 400K."
PhysReason_cal_problem_00027,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,606,"The student's answers are numerically equivalent to the gold answers: 1.0 m = 1 m, 0 m/s = 0, 12 J = 12 J."
PhysReason_cal_problem_00325,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Student did not provide a final answer; response is incomplete.
PhysReason_cal_problem_00012,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,594,Missing density result and sign error in ΔE_k (positive instead of negative).
PhysReason_cal_problem_00880,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,399,The student's answers exactly match the gold answers for all three sub-questions.
PhysReason_comp_problem_84,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,957,"The molar heat capacity is approximately correct, but the oscillation frequency (57.4 rad/s) does not match the gold ans"
PhysReason_cal_problem_00633,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,950,Student's answer matches gold answer.
PhysReason_cal_problem_01497,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,518,Student's answer 9.96 s does not match gold answer 7.75 s; likely due to different g value and acceleration.
PhysReason_cal_problem_01555,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,448,Student's final answers match the gold answers exactly.
PhysReason_cal_problem_01040,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,679,"Student used g=9.8 instead of g=10, leading to different numerical answers (20.2 s vs 20 s, 20.4 m/s vs 20 m/s, 12.3 kg "
PhysReason_cal_problem_00510,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,658,Student's answer includes a numeric N=20 and does not match the gold answer's simplified expressions.
PhysReason_cal_problem_01597,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,289,The student's final answers match the gold answers exactly.
PhysReason_comp_problem_99,PhysReason,physics_reasoning,3,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,740,"Student's μ values have extra factor of 1/2, not matching gold answers."
PhysReason_comp_problem_87,PhysReason,physics_reasoning,4,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,810,Missing negative sign in current ratio; should be -35.0 i_n.
PhysReason_cal_problem_00486,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,544,"First answer sign mismatch: gold expects 5V, student gives -5V."
PhysReason_comp_problem_102,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Student's answer for part vii is incomplete (missing numerical time) and signs differ in parts v and vi.
PhysReason_cal_problem_01031,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,114,The student's answers 0.6 J and 0.2 J match the gold answers.
PhysReason_cal_problem_00078,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,184,"Student calculated 26 m/s, but gold answer is 28 m/s."
PhysReason_cal_problem_00281,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1010,Student's answers differ from gold: part 1 is 3.5 vs 3.54; part 2 speed 2.97 vs 2.89-3 and distance 12.5 vs 8.33 m.
PhysReason_comp_problem_85,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Part iv and vi do not match gold answers; part iv uses gravitational potential energy instead of heat from isothermal co
PhysReason_cal_problem_00092,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,508,Student provided all three expressions matching the gold answer.
PhysReason_comp_problem_81,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,687,Student's final answer lacks the equations of motion (vector and component forms) present in gold answer.
PhysReason_cal_problem_00019,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,256,The student's expressions are algebraically identical to the gold answer.
PhysReason_cal_problem_00230,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Student did not provide final answers; derived angle 30° instead of 60° or π/3.
PhysReason_cal_problem_00502,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,309,Student's final answers numerically match the gold answers.
PhysReason_cal_problem_00634,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,314,Third answer missing factor of 1/2: should be mv^2/(2P) not mv^2/P.
PhysReason_cal_problem_00099,PhysReason,physics_reasoning,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,724,"Student used g=9.8 yielding numerical answers (height 4.64 m, time of ascent 0.928 s, time of descent 1.03 s) that diffe"
PhysReason_cal_problem_00291,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,812,The student's answer matches the gold answer exactly.
PhysReason_cal_problem_00336,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,435,Sign of potential difference is opposite and direction of velocity is missing.
PhysReason_cal_problem_00669,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,210,"The number of electrons does not match; student got 1.685×10^18, gold expects 1.7×10^19."
PhysReason_cal_problem_01329,PhysReason,physics_reasoning,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,279,"Student provided only the third expression, missing the linear velocity and mass expressions."
PhysReason_comp_problem_96,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,624,"The student's maximum wind power fraction is 0.5, but the gold answer gives 0.077 P, so the final answer does not match."
PhysReason_cal_problem_00067,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,485,"The third answer (waiting time) should be 20 s, not 24 s."
PhysReason_cal_problem_00513,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,218,"Student's answer includes Avogadro's number N_A, which is not present in the gold answer."
PhysReason_cal_problem_01114,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,201,The student's final answer matches the gold answer in values and units.
PhysReason_cal_problem_01171,PhysReason,physics_reasoning,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,272,The student's final answers (8 m/s and 6 N) match the gold answers exactly.
PhysReason_cal_problem_01192,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,158,Student's final answer is missing the acceleration (7 m/s^2).
PhysReason_cal_problem_01321,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,576,The student's answers for h (19200 km = 3R = 1.92×10^7 m) and H (the expression for geosynchronous orbit) match the gold
PhysReason_cal_problem_01323,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,382,Student's final answers match gold answers exactly.
PhysReason_cal_problem_01330,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,480,All four numerical values match the gold answers.
PhysReason_cal_problem_01343,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,220,"Student's answer is an expression in terms of v_m, not the numerical value 128 m."
PhysReason_cal_problem_01367,PhysReason,physics_reasoning,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,211,"The student used x as horizontal displacement instead of sqrt(x^2 - h^2), leading to missing -h^2 term in denominator."
PhysReason_cal_problem_01391,PhysReason,physics_reasoning,2,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,376,All three numerical answers match the gold answer with correct units.
PhysReason_cal_problem_01443,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,123,"The student's answer matches the gold answer: 0.3 m/s² is equivalent to 0.3 m/s², and 3000 kg is equivalent to 3e3 kg."
PhysReason_cal_problem_01492,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,522,Student's answers include an extra (R+h)/R factor due to not assuming h << R.
PhysReason_cal_problem_01541,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,563,Student's answers for gravitational force (4 N) and height (6400 km) match gold answer exactly.
OlympiadBench_1441,OlympiadBench,Physics,4,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,748,The STUDENT's final answer does not match the GOLD answer; they are algebraically different.
OlympiadBench_1224,OlympiadBench,Physics,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,810,The student's answer is missing a factor of 2 compared to the gold answer.
OlympiadBench_1460,OlympiadBench,Physics,3,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,148,"The student's expression uses Carnot efficiency, but the correct answer is a more complex function of x."
OlympiadBench_1428,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,196,"Student's answer of 0 J does not match the gold answer $-a' N / V$, which is a non-zero expression."
OlympiadBench_1597,OlympiadBench,Physics,0,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,231,Student's final answer 'γb' is equivalent to the gold answer 'Ω=γb'.
PhysReason_comp_problem_86,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,"Student's response is incomplete; final expression for step 2 is not provided, so it cannot match the gold answer."
PhysReason_cal_problem_00487,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,360,"The third answer has a sign mismatch: gold expects +6x10^-3 J, student gives -6x10^-3 J."
PhysReason_comp_problem_82,PhysReason,physics_reasoning,1,DeepSeek,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,Student's answer is incomplete: missing the electrified bubble radius equation and charge expression.
OlympiadBench_1324,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,677,The student's answer 0.0737 does not match the gold answer -35.0.
OlympiadBench_1502,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,232,Student provided a generic formula instead of the numerical value 0.53.
OlympiadBench_1441,OlympiadBench,Physics,4,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,285,The student's answer -E_b does not match the gold answer.
OlympiadBench_1432,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,520,The student's final answer does not match the gold answer; it lacks the log 2 term and has incorrect dependence on tempe
OlympiadBench_1436,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,561,"The student's answer is a symbolic variable T1, not the numerical value 395."
OlympiadBench_1393,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,510,The final answer does not match the gold answer; it lacks the charge q and has a different coefficient.
OlympiadBench_1475,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,420,Student's answer v does not match the gold expression involving trigonometric and friction terms.
OlympiadBench_1223,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,944,Student's final expression does not match the gold answer; it includes $(Z-1)^2$ and constants not present in the gold a
OlympiadBench_1400,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,453,The student's answer $dQ_1$ does not match the gold expression which includes temperature-dependent factors.
OlympiadBench_1434,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,707,Student did not provide the correct symbolic expressions for T_f and W.
OlympiadBench_1224,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,501,"The student's answer is a kinetic energy expression, not the required potential energy form -2·E_R·(z-1/4)^2."
OlympiadBench_1396,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,988,"Student's answer is π/3 E0, not α E0 as in the gold answer."
OlympiadBench_1325,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,658,Student's answer 1836 does not match gold answer 35.
OlympiadBench_1359,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,344,Student's answer is mathematically equivalent to the gold answer.
OlympiadBench_1420,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,413,Student's answer for y0 has wrong sign and omits the velocity expression from the gold answer.
OlympiadBench_1462,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,335,"The student's answer is mathematically equivalent to the gold answer, as the derivative of the product yields the same e"
OlympiadBench_1367,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,The student's calculated energy loss is extremely small (~10^-144 J) and not close to the gold answer of -56 (likely mea
OlympiadBench_1395,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,328,"Student's answer differs by factor 4 from gold answer; gold is (1/3)αE0, student gave (4/411)E0 which is (4/3)αE0."
OlympiadBench_1477,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,496,"Student's answer lacks sinθ and uses square root, while gold answer is u = v sinθ/(1+β)."
OlympiadBench_1427,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,714,Student's final answer matches the gold answer exactly.
OlympiadBench_1460,OlympiadBench,Physics,3,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,572,Student's answer does not match the gold expression; it is overly simplified and does not account for the correct functi
OlympiadBench_1493,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,468,"The student's final answer does not match the gold answer; it involves torque and angular velocity, while the gold answe"
OlympiadBench_1178,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,709,Student provided numerical estimates instead of the required analytic expressions.
OlympiadBench_1366,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,996,"Student's answer includes E0 and has different constants/powers, not matching gold answer."
OlympiadBench_1430,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,389,The student's answer is a different formula (quantum particle in a box) than the gold answer (classical van der Waals-li
OlympiadBench_1213,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,325,"Student used non-relativistic formula, but gold answer requires relativistic expression."
OlympiadBench_1215,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,991,Student derived incorrect formula and obtained a magnetic field value (7.82e-4 T) that is orders of magnitude less than 
OlympiadBench_1117,OlympiadBench,Physics,2,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,588,"The student's answer U/Z_ext does not match the gold answer which is a more complex expression involving beta, S, r, L, "
OlympiadBench_1341,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,593,"The student provided a numerical constant instead of the required symbolic expression involving γ, μ, g, R, T_parcel, an"
OlympiadBench_1363,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,430,The student's final expression matches the gold answer exactly.
OlympiadBench_1492,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,575,"Student's answer τ = r * v * P is not equivalent to the gold expression; missing negative sign, factor of 1/c, and speci"
OlympiadBench_1488,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",1,1,0,0,320,The student's expression is algebraically identical to the gold answer.
OlympiadBench_1356,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,244,The student's answer (β=1) does not match the gold answer (β=-1/2)
OlympiadBench_1214,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,816,"The student's calculated Δ value (1.81e-7) does not match the gold answer Δ=3.63e-11, and the derived formula differs fr"
OlympiadBench_1354,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,659,Student's alpha expression differs from gold: student has G M_1 M_2/(M_1+M_2) but gold has G M_2^3/(M_1+M_2)^2.
OlympiadBench_1565,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,462,"The final answer is missing the radial unit vector, so it does not represent the vector electric field."
OlympiadBench_1176,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,421,"Student's answer does not match the gold answer; it expresses Q in terms of energy density and volume difference, not th"
OlympiadBench_1364,OlympiadBench,Physics,0,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,491,Student's answer 0.511 MeV/c does not match the gold answer p=330.
OlympiadBench_1402,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,338,"The student provided a numerical estimate, but the gold answer requires symbolic expressions in terms of given parameter"
OlympiadBench_1431,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,191,"Student's answer is a qualitative statement, not the required expression involving the correction term."
OlympiadBench_1217,OlympiadBench,Physics,1,Qwen-14B,"DeepSeek judge, deepseek-v4-flash route",0,1,0,0,1024,"Student's calculation is incomplete and yields ~808 W, not 5.13."
