item_id,difficulty,rule_q_dc,rule_q_families,rule_qs_dc,rule_qs_families,human_dc,human_families,llm_dc
PhysReason_cal_problem_00106,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00107,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00108,difficult,0,,0,,0,,
PhysReason_cal_problem_00109,easy,0,,0,,0,,
PhysReason_cal_problem_00111,difficult,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00112,knowledge,0,,0,,0,,
PhysReason_cal_problem_00114,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00116,difficult,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00117,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00118,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00120,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00121,difficult,0,,0,,1,momentum,
PhysReason_cal_problem_00122,difficult,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00123,medium,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00124,difficult,0,,0,,0,,
PhysReason_cal_problem_00125,medium,0,,0,,0,,
PhysReason_cal_problem_00127,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00128,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00129,easy,0,,0,,0,,
PhysReason_cal_problem_00130,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00131,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00132,easy,0,,0,,0,,
PhysReason_cal_problem_00134,difficult,0,,0,,1,charge,
PhysReason_cal_problem_00135,medium,0,,0,,0,,
PhysReason_cal_problem_00137,difficult,1,momentum,1,momentum,1,energy,
PhysReason_cal_problem_00138,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00139,difficult,0,,1,energy,2,energy|momentum,
PhysReason_cal_problem_00140,knowledge,0,,0,,0,,
PhysReason_cal_problem_00141,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00144,difficult,0,,0,,0,,
PhysReason_cal_problem_00145,medium,0,,0,,1,energy,
PhysReason_cal_problem_00146,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00147,difficult,0,,0,,0,,
PhysReason_cal_problem_00148,easy,0,,0,,0,,
PhysReason_cal_problem_00149,medium,0,,0,,2,energy|momentum,
PhysReason_cal_problem_00150,knowledge,0,,0,,0,,
PhysReason_cal_problem_00151,difficult,0,,0,,0,,
PhysReason_cal_problem_00152,medium,0,,0,,0,,
PhysReason_cal_problem_00155,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00156,difficult,0,,0,,1,momentum,
PhysReason_cal_problem_00157,easy,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00160,medium,0,,0,,0,,
PhysReason_cal_problem_00161,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00162,medium,0,,1,mass,2,energy|mass,
PhysReason_cal_problem_00163,difficult,0,,1,momentum,1,momentum,
PhysReason_cal_problem_00165,difficult,0,,0,,0,,
PhysReason_cal_problem_00166,difficult,0,,0,,0,,
PhysReason_cal_problem_00167,medium,0,,0,,1,energy,
PhysReason_cal_problem_00169,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00171,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00172,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00173,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00174,medium,0,,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00175,easy,0,,0,,0,,
PhysReason_cal_problem_00176,easy,0,,0,,0,,
PhysReason_cal_problem_00177,easy,0,,0,,0,,
PhysReason_cal_problem_00178,easy,0,,0,,0,,
PhysReason_cal_problem_00181,easy,0,,0,,0,,
PhysReason_cal_problem_00183,knowledge,0,,0,,0,,
PhysReason_cal_problem_00186,knowledge,0,,0,,0,,
PhysReason_cal_problem_00187,knowledge,0,,0,,0,,
PhysReason_cal_problem_00189,medium,0,,0,,0,,
PhysReason_cal_problem_00191,easy,0,,0,,0,,
PhysReason_cal_problem_00196,knowledge,0,,0,,0,,
PhysReason_cal_problem_00197,knowledge,0,,0,,0,,
PhysReason_cal_problem_00199,medium,0,,0,,0,,
PhysReason_cal_problem_00200,easy,0,,0,,0,,
PhysReason_cal_problem_00202,medium,0,,0,,0,,
PhysReason_cal_problem_00204,medium,0,,0,,0,,
PhysReason_cal_problem_00205,medium,0,,0,,0,,
PhysReason_cal_problem_00208,medium,0,,0,,0,,
PhysReason_cal_problem_00209,knowledge,0,,0,,0,,
PhysReason_cal_problem_00210,easy,0,,0,,1,energy,
PhysReason_cal_problem_00213,medium,0,,0,,0,,
PhysReason_cal_problem_00215,easy,0,,0,,0,,
PhysReason_cal_problem_00216,easy,0,,0,,0,,
PhysReason_cal_problem_00220,easy,0,,0,,0,,
PhysReason_cal_problem_00221,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00222,easy,0,,0,,0,,
PhysReason_cal_problem_00224,easy,0,,0,,0,,1
PhysReason_cal_problem_00225,easy,0,,0,,0,,
PhysReason_cal_problem_00227,easy,0,,0,,0,,
PhysReason_cal_problem_00228,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00229,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00230,difficult,0,,0,,0,,2
PhysReason_cal_problem_00231,difficult,0,,0,,0,,
PhysReason_cal_problem_00232,medium,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00233,difficult,0,,0,,1,momentum,
PhysReason_cal_problem_00234,difficult,0,,1,momentum,0,,
PhysReason_cal_problem_00235,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00236,difficult,0,,0,,0,,
PhysReason_cal_problem_00237,difficult,0,,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00239,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00241,difficult,0,,0,,1,energy,
PhysReason_cal_problem_00242,knowledge,0,,0,,0,,
PhysReason_cal_problem_00243,difficult,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00245,difficult,1,momentum,1,momentum,1,energy,
PhysReason_cal_problem_00246,difficult,0,,1,momentum,1,energy,
PhysReason_cal_problem_00248,knowledge,0,,0,,0,,
PhysReason_cal_problem_00249,easy,0,,0,,0,,
PhysReason_cal_problem_00251,knowledge,0,,0,,0,,
PhysReason_cal_problem_00252,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00253,knowledge,0,,0,,0,,
PhysReason_cal_problem_00254,medium,0,,0,,0,,
PhysReason_cal_problem_00255,knowledge,0,,0,,0,,
PhysReason_cal_problem_00257,knowledge,0,,0,,0,,
PhysReason_cal_problem_00258,difficult,0,,0,,0,,
PhysReason_cal_problem_00260,difficult,0,,0,,0,,
PhysReason_cal_problem_00261,medium,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00262,medium,0,,0,,0,,
PhysReason_cal_problem_00263,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00265,knowledge,0,,0,,0,,
PhysReason_cal_problem_00266,medium,0,,0,,0,,
PhysReason_cal_problem_00269,difficult,0,,0,,0,,
PhysReason_cal_problem_00270,medium,0,,0,,0,,
PhysReason_cal_problem_00272,easy,0,,0,,0,,1
PhysReason_cal_problem_00273,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00274,medium,0,,0,,0,,
PhysReason_cal_problem_00277,medium,0,,0,,0,,
PhysReason_cal_problem_00279,easy,0,,0,,0,,
PhysReason_cal_problem_00281,difficult,1,momentum,2,energy|momentum,1,energy,1
PhysReason_cal_problem_00282,medium,0,,0,,0,,
PhysReason_cal_problem_00284,difficult,0,,0,,0,,
PhysReason_cal_problem_00285,easy,0,,0,,0,,
PhysReason_cal_problem_00286,knowledge,0,,0,,0,,
PhysReason_cal_problem_00287,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00288,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00289,medium,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00290,medium,0,,0,,0,,
PhysReason_cal_problem_00291,difficult,0,,0,,0,,2
PhysReason_cal_problem_00292,medium,0,,0,,0,,
PhysReason_cal_problem_00293,difficult,0,,0,,0,,
PhysReason_cal_problem_00294,difficult,0,,0,,0,,
PhysReason_cal_problem_00295,medium,0,,0,,0,,
PhysReason_cal_problem_00296,easy,0,,0,,0,,
PhysReason_cal_problem_00298,medium,0,,0,,0,,
PhysReason_cal_problem_00300,medium,0,,0,,0,,
PhysReason_cal_problem_00301,difficult,0,,0,,0,,
PhysReason_cal_problem_00302,difficult,0,,0,,0,,
PhysReason_cal_problem_00303,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00304,difficult,0,,0,,0,,
PhysReason_cal_problem_00305,easy,0,,0,,0,,
PhysReason_cal_problem_00306,easy,0,,0,,0,,
PhysReason_cal_problem_00308,medium,0,,0,,0,,
PhysReason_cal_problem_00309,difficult,0,,0,,0,,
PhysReason_cal_problem_00310,easy,0,,0,,0,,
PhysReason_cal_problem_00311,easy,0,,0,,0,,
PhysReason_cal_problem_00312,difficult,0,,0,,0,,
PhysReason_cal_problem_00313,easy,0,,0,,0,,
PhysReason_cal_problem_00315,difficult,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00316,difficult,0,,0,,0,,
PhysReason_cal_problem_00317,medium,0,,0,,0,,
PhysReason_cal_problem_00318,easy,0,,0,,0,,
PhysReason_cal_problem_00321,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00322,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00325,medium,0,,1,energy,1,energy,1
PhysReason_cal_problem_00326,knowledge,0,,0,,0,,
PhysReason_cal_problem_00327,medium,0,,0,,0,,
PhysReason_cal_problem_00328,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00329,knowledge,0,,0,,0,,
PhysReason_cal_problem_00332,medium,0,,1,energy,2,energy|momentum,
PhysReason_cal_problem_00334,easy,0,,0,,0,,
PhysReason_cal_problem_00335,easy,0,,0,,0,,
PhysReason_cal_problem_00336,knowledge,0,,1,energy,1,energy,1
PhysReason_cal_problem_00337,knowledge,0,,0,,0,,
PhysReason_cal_problem_00339,knowledge,0,,0,,0,,
PhysReason_cal_problem_00340,medium,0,,0,,0,,1
PhysReason_cal_problem_00341,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00342,difficult,0,,0,,0,,
PhysReason_cal_problem_00344,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00345,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00346,medium,0,,1,energy,1,energy,1
PhysReason_cal_problem_00348,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00349,difficult,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00350,difficult,0,,0,,0,,
PhysReason_cal_problem_00351,difficult,0,,1,energy,2,energy|momentum,
PhysReason_cal_problem_00352,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00354,easy,0,,0,,0,,
PhysReason_cal_problem_00355,difficult,0,,0,,0,,
PhysReason_cal_problem_00356,easy,0,,0,,0,,
PhysReason_cal_problem_00358,easy,0,,0,,0,,
PhysReason_cal_problem_00359,easy,0,,0,,0,,
PhysReason_cal_problem_00360,difficult,0,,0,,0,,
PhysReason_cal_problem_00362,knowledge,0,,0,,1,charge,
PhysReason_cal_problem_00363,easy,0,,0,,1,charge,
PhysReason_cal_problem_00364,knowledge,0,,0,,0,,
PhysReason_cal_problem_00365,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00366,knowledge,0,,0,,0,,
PhysReason_cal_problem_00367,easy,0,,0,,0,,
PhysReason_cal_problem_00369,easy,1,momentum,1,momentum,1,momentum,
PhysReason_cal_problem_00371,difficult,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00372,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00374,medium,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00375,medium,1,momentum,1,momentum,2,energy|momentum,
PhysReason_cal_problem_00376,difficult,2,energy|momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00377,knowledge,1,momentum,2,energy|momentum,2,energy|momentum,
PhysReason_cal_problem_00378,medium,0,,0,,0,,
PhysReason_cal_problem_00382,knowledge,0,,0,,0,,
PhysReason_cal_problem_00383,difficult,0,,0,,0,,
PhysReason_cal_problem_00384,difficult,0,,0,,0,,
PhysReason_cal_problem_00385,medium,0,,0,,0,,
PhysReason_cal_problem_00386,easy,0,,0,,0,,
PhysReason_cal_problem_00388,medium,0,,0,,0,,
PhysReason_cal_problem_00390,difficult,0,,0,,0,,
PhysReason_cal_problem_00391,medium,0,,0,,0,,
PhysReason_cal_problem_00392,easy,0,,0,,0,,
PhysReason_cal_problem_00393,difficult,0,,0,,0,,
PhysReason_cal_problem_00394,medium,0,,0,,0,,
PhysReason_cal_problem_00396,medium,0,,0,,0,,
PhysReason_cal_problem_00397,medium,0,,0,,0,,
PhysReason_cal_problem_00398,medium,0,,0,,0,,
PhysReason_cal_problem_00399,difficult,0,,0,,0,,
PhysReason_cal_problem_00401,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00402,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00403,easy,0,,0,,0,,
PhysReason_cal_problem_00404,medium,0,,0,,0,,
PhysReason_cal_problem_00405,difficult,0,,0,,0,,
PhysReason_cal_problem_00406,medium,0,,0,,0,,
PhysReason_cal_problem_00407,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00412,medium,0,,0,,1,energy,
PhysReason_cal_problem_00414,easy,0,,0,,0,,
PhysReason_cal_problem_00415,knowledge,0,,0,,0,,
PhysReason_cal_problem_00416,easy,0,,0,,0,,
PhysReason_cal_problem_00417,knowledge,0,,0,,0,,
PhysReason_cal_problem_00418,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00419,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00421,knowledge,0,,0,,0,,
PhysReason_cal_problem_00422,medium,0,,0,,0,,
PhysReason_cal_problem_00424,easy,0,,0,,0,,
PhysReason_cal_problem_00426,medium,0,,0,,0,,
PhysReason_cal_problem_00428,knowledge,0,,0,,0,,
PhysReason_cal_problem_00429,easy,0,,0,,0,,
PhysReason_cal_problem_00430,medium,0,,0,,0,,
PhysReason_cal_problem_00431,knowledge,0,,0,,0,,
PhysReason_cal_problem_00432,easy,0,,0,,0,,0
PhysReason_cal_problem_00434,knowledge,0,,0,,0,,
PhysReason_cal_problem_00435,easy,0,,0,,0,,
PhysReason_cal_problem_00437,knowledge,0,,0,,0,,
PhysReason_cal_problem_00439,easy,0,,0,,0,,
PhysReason_cal_problem_00441,easy,0,,0,,0,,
PhysReason_cal_problem_00444,easy,0,,0,,0,,
PhysReason_cal_problem_00446,easy,0,,0,,0,,
PhysReason_cal_problem_00447,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00448,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00449,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00450,difficult,0,,0,,0,,
PhysReason_cal_problem_00452,knowledge,0,,0,,0,,
PhysReason_cal_problem_00454,easy,0,,0,,0,,
PhysReason_cal_problem_00457,knowledge,0,,0,,0,,
PhysReason_cal_problem_00459,medium,0,,0,,0,,
PhysReason_cal_problem_00460,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00461,knowledge,1,momentum,1,momentum,1,energy,
PhysReason_cal_problem_00462,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00464,knowledge,0,,0,,0,,
PhysReason_cal_problem_00465,easy,0,,0,,0,,
PhysReason_cal_problem_00466,easy,0,,0,,0,,
PhysReason_cal_problem_00467,knowledge,0,,0,,0,,
PhysReason_cal_problem_00471,knowledge,0,,0,,0,,
PhysReason_cal_problem_00472,knowledge,0,,0,,0,,
PhysReason_cal_problem_00473,easy,0,,0,,0,,
PhysReason_cal_problem_00474,knowledge,0,,0,,0,,
PhysReason_cal_problem_00475,knowledge,0,,0,,0,,
PhysReason_cal_problem_00478,knowledge,0,,0,,0,,
PhysReason_cal_problem_00481,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00482,knowledge,0,,0,,0,,
PhysReason_cal_problem_00483,easy,0,,0,,0,,
PhysReason_cal_problem_00484,easy,0,,0,,0,,
PhysReason_cal_problem_00486,knowledge,0,,0,,1,energy,1
PhysReason_cal_problem_00487,knowledge,0,,0,,1,energy,1
PhysReason_cal_problem_00488,easy,0,,0,,0,,
PhysReason_cal_problem_00489,medium,0,,0,,0,,
PhysReason_cal_problem_00490,knowledge,0,,0,,0,,
PhysReason_cal_problem_00491,medium,0,,0,,0,,
PhysReason_cal_problem_00492,easy,0,,0,,0,,
PhysReason_cal_problem_00494,knowledge,0,,0,,0,,
PhysReason_cal_problem_00496,medium,0,,0,,0,,
PhysReason_cal_problem_00497,easy,0,,0,,0,,
PhysReason_cal_problem_00499,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00502,knowledge,0,,1,energy,1,energy,1
PhysReason_cal_problem_00503,difficult,0,,0,,0,,
PhysReason_cal_problem_00504,medium,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00505,difficult,0,,1,momentum,1,energy,
PhysReason_cal_problem_00507,knowledge,0,,1,energy,1,energy,
PhysReason_cal_problem_00508,knowledge,0,,0,,0,,
PhysReason_cal_problem_00510,medium,0,,0,,1,energy,1
PhysReason_cal_problem_00511,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00513,medium,0,,0,,0,,1
PhysReason_cal_problem_00514,knowledge,0,,0,,0,,
PhysReason_cal_problem_00516,knowledge,0,,0,,0,,
PhysReason_cal_problem_00518,difficult,0,,0,,1,charge,
PhysReason_cal_problem_00520,knowledge,0,,0,,0,,
PhysReason_cal_problem_00521,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00522,knowledge,0,,0,,0,,
PhysReason_cal_problem_00523,knowledge,0,,0,,1,charge,
PhysReason_cal_problem_00524,medium,0,,0,,0,,
PhysReason_cal_problem_00527,difficult,0,,0,,0,,
PhysReason_cal_problem_00530,knowledge,0,,0,,0,,
PhysReason_cal_problem_00532,medium,0,,0,,0,,
PhysReason_cal_problem_00533,easy,0,,0,,0,,
PhysReason_cal_problem_00534,medium,0,,0,,0,,
PhysReason_cal_problem_00535,knowledge,0,,0,,1,energy,
PhysReason_cal_problem_00536,medium,0,,0,,0,,
PhysReason_cal_problem_00538,easy,0,,0,,1,momentum,
PhysReason_cal_problem_00541,easy,0,,0,,0,,
PhysReason_cal_problem_00544,knowledge,0,,0,,0,,
PhysReason_cal_problem_00545,easy,0,,0,,0,,
PhysReason_cal_problem_00547,easy,0,,0,,0,,
PhysReason_cal_problem_00548,easy,0,,0,,0,,
PhysReason_cal_problem_00549,easy,0,,0,,0,,
PhysReason_cal_problem_00554,knowledge,0,,0,,0,,
PhysReason_cal_problem_00555,medium,0,,0,,0,,
PhysReason_cal_problem_00556,knowledge,0,,0,,0,,
PhysReason_cal_problem_00557,knowledge,0,,0,,0,,
PhysReason_cal_problem_00558,knowledge,0,,0,,0,,
PhysReason_cal_problem_00560,medium,0,,0,,0,,
PhysReason_cal_problem_00561,medium,0,,1,energy,1,energy,
PhysReason_cal_problem_00562,easy,0,,0,,0,,
PhysReason_cal_problem_00563,medium,0,,0,,0,,
PhysReason_cal_problem_00564,medium,0,,0,,0,,
PhysReason_cal_problem_00565,difficult,0,,1,energy,1,energy,
PhysReason_cal_problem_00566,medium,0,,0,,0,,
PhysReason_cal_problem_00567,medium,0,,0,,0,,
PhysReason_cal_problem_00569,easy,0,,0,,0,,
PhysReason_cal_problem_00570,medium,0,,0,,0,,
PhysReason_cal_problem_00571,knowledge,0,,0,,0,,
PhysReason_cal_problem_00572,easy,0,,0,,0,,
PhysReason_cal_problem_00573,easy,0,,0,,0,,
PhysReason_cal_problem_00575,knowledge,0,,0,,0,,0
PhysReason_cal_problem_00576,knowledge,0,,0,,0,,
PhysReason_cal_problem_00577,knowledge,0,,0,,0,,1
PhysReason_cal_problem_00580,easy,0,,0,,0,,
PhysReason_cal_problem_00581,easy,0,,0,,0,,
PhysReason_cal_problem_00583,easy,0,,0,,0,,
PhysReason_cal_problem_00585,medium,0,,0,,0,,
PhysReason_cal_problem_00588,easy,0,,0,,0,,
PhysReason_cal_problem_00589,knowledge,0,,0,,0,,
PhysReason_cal_problem_00590,medium,0,,0,,0,,
PhysReason_cal_problem_00591,easy,0,,0,,0,,
PhysReason_cal_problem_00593,easy,0,,0,,0,,
PhysReason_cal_problem_00594,easy,0,,0,,0,,
PhysReason_cal_problem_00595,difficult,0,,0,,0,,
PhysReason_cal_problem_00596,knowledge,0,,0,,0,,
PhysReason_cal_problem_00597,medium,0,,0,,0,,
PhysReason_cal_problem_00598,knowledge,0,,0,,0,,
PhysReason_cal_problem_00599,knowledge,0,,0,,0,,
PhysReason_cal_problem_00601,easy,0,,0,,0,,
PhysReason_cal_problem_00604,medium,0,,0,,0,,
PhysReason_cal_problem_00605,difficult,0,,0,,0,,
PhysReason_cal_problem_00606,difficult,0,,0,,0,,
PhysReason_cal_problem_00608,easy,0,,1,energy,1,energy,
PhysReason_cal_problem_00610,knowledge,0,,0,,0,,
PhysReason_cal_problem_00611,medium,0,,0,,0,,
PhysReason_cal_problem_00612,knowledge,0,,0,,0,,
PhysReason_cal_problem_00613,medium,0,,0,,0,,
PhysReason_cal_problem_00614,medium,0,,0,,0,,
PhysReason_cal_problem_00615,difficult,0,,0,,0,,
PhysReason_cal_problem_00617,medium,0,,0,,0,,
PhysReason_cal_problem_00619,difficult,0,,0,,0,,
PhysReason_cal_problem_00620,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00621,knowledge,0,,0,,0,,
PhysReason_cal_problem_00622,knowledge,0,,0,,0,,
PhysReason_cal_problem_00623,difficult,1,momentum,1,momentum,0,,
PhysReason_cal_problem_00624,medium,1,momentum,2,energy|momentum,1,energy,
PhysReason_cal_problem_00625,medium,0,,0,,0,,
PhysReason_cal_problem_00627,easy,0,,0,,0,,
PhysReason_cal_problem_00628,knowledge,0,,0,,0,,
