item_id,source_benchmark,topic,d_c,direct_correct,cot_correct,delta_cot,direct_tokens_out,cot_tokens_out
PHYBench_112,PHYBench,ELECTRICITY,2,0,0,0,26,506
PHYBench_115,PHYBench,ADVANCED,1,0,0,0,80,732
PHYBench_117,PHYBench,MECHANICS,2,0,0,0,23,644
PHYBench_118,PHYBench,ELECTRICITY,1,0,0,0,13,722
PHYBench_120,PHYBench,THERMODYNAMICS,1,0,0,0,27,1024
PHYBench_121,PHYBench,MODERN,0,0,0,0,52,1024
PHYBench_124,PHYBench,MECHANICS,1,0,1,1,17,661
PHYBench_131,PHYBench,ELECTRICITY,0,1,1,0,24,240
PHYBench_133,PHYBench,MECHANICS,0,0,0,0,16,230
PHYBench_134,PHYBench,MECHANICS,0,0,1,1,20,529
PHYBench_139,PHYBench,MECHANICS,0,0,0,0,31,269
PHYBench_140,PHYBench,MECHANICS,0,0,0,0,16,1024
PHYBench_143,PHYBench,MECHANICS,0,0,0,0,17,180
PHYBench_204,PHYBench,ELECTRICITY,0,0,0,0,37,1024
PHYBench_206,PHYBench,ELECTRICITY,0,1,1,0,62,540
PHYBench_211,PHYBench,MODERN,0,0,0,0,29,957
PHYBench_221,PHYBench,MODERN,3,0,0,0,32,1024
PHYBench_228,PHYBench,MECHANICS,3,0,0,0,80,1024
PHYBench_244,PHYBench,THERMODYNAMICS,0,0,0,0,9,1024
PHYBench_25,PHYBench,ELECTRICITY,4,0,0,0,21,1024
PHYBench_250,PHYBench,ELECTRICITY,1,0,0,0,80,1024
PHYBench_256,PHYBench,MODERN,3,0,0,0,17,1024
PHYBench_281,PHYBench,THERMODYNAMICS,0,1,0,-1,23,1024
PHYBench_284,PHYBench,OPTICS,0,0,1,1,45,378
PHYBench_285,PHYBench,MECHANICS,0,0,0,0,14,1024
PHYBench_310,PHYBench,MODERN,3,0,0,0,42,1024
PHYBench_318,PHYBench,MECHANICS,0,0,1,1,34,459
PHYBench_321,PHYBench,MECHANICS,1,0,0,0,18,300
PHYBench_33,PHYBench,THERMODYNAMICS,1,0,0,0,44,689
PHYBench_331,PHYBench,OPTICS,0,0,0,0,16,232
PHYBench_332,PHYBench,MECHANICS,4,0,0,0,80,1024
PHYBench_333,PHYBench,ELECTRICITY,2,0,0,0,79,1024
PHYBench_336,PHYBench,MECHANICS,2,0,0,0,47,953
PHYBench_36,PHYBench,MECHANICS,2,0,0,0,42,627
PHYBench_367,PHYBench,MECHANICS,0,0,1,1,35,899
PHYBench_37,PHYBench,MECHANICS,3,0,0,0,25,1024
PHYBench_39,PHYBench,MECHANICS,1,1,1,0,25,313
PHYBench_401,PHYBench,MECHANICS,3,0,0,0,15,376
PHYBench_41,PHYBench,MECHANICS,1,0,1,1,40,441
PHYBench_412,PHYBench,ELECTRICITY,0,0,0,0,67,1024
PHYBench_419,PHYBench,OPTICS,0,0,0,0,12,394
PHYBench_42,PHYBench,OPTICS,2,0,0,0,27,859
PHYBench_420,PHYBench,MECHANICS,1,0,0,0,19,298
PHYBench_423,PHYBench,THERMODYNAMICS,1,0,0,0,47,1024
PHYBench_43,PHYBench,ELECTRICITY,1,0,0,0,80,1024
PHYBench_432,PHYBench,ELECTRICITY,1,0,0,0,29,427
PHYBench_443,PHYBench,ELECTRICITY,0,1,1,0,35,305
PHYBench_45,PHYBench,THERMODYNAMICS,2,0,0,0,52,1024
PHYBench_450,PHYBench,MECHANICS,2,0,0,0,15,1024
PHYBench_453,PHYBench,ELECTRICITY,1,0,0,0,27,620
PHYBench_457,PHYBench,MECHANICS,2,0,0,0,44,918
PHYBench_458,PHYBench,ADVANCED,1,1,1,0,19,316
PHYBench_478,PHYBench,ELECTRICITY,1,0,0,0,13,368
PHYBench_493,PHYBench,ELECTRICITY,2,0,0,0,26,525
PHYBench_495,PHYBench,OPTICS,0,1,0,-1,56,589
PHYBench_497,PHYBench,MECHANICS,1,0,0,0,44,1024
PHYBench_498,PHYBench,OPTICS,0,0,0,0,26,1024
PHYBench_50,PHYBench,THERMODYNAMICS,1,0,0,0,36,487
PHYBench_505,PHYBench,MECHANICS,1,0,0,0,39,842
PHYBench_54,PHYBench,MECHANICS,1,1,0,-1,22,448
PHYBench_55,PHYBench,ELECTRICITY,0,0,1,1,32,703
PHYBench_58,PHYBench,ELECTRICITY,0,0,0,0,25,1024
PHYBench_600,PHYBench,OPTICS,0,0,0,0,9,585
PHYBench_603,PHYBench,ELECTRICITY,0,0,1,1,29,329
PHYBench_62,PHYBench,ADVANCED,1,1,0,-1,15,1024
PHYBench_630,PHYBench,THERMODYNAMICS,1,0,0,0,23,1024
PHYBench_636,PHYBench,ELECTRICITY,3,0,0,0,47,1024
PHYBench_648,PHYBench,MECHANICS,3,0,0,0,26,1024
PHYBench_649,PHYBench,ELECTRICITY,3,0,0,0,24,1024
PHYBench_65,PHYBench,ELECTRICITY,2,0,0,0,7,600
PHYBench_650,PHYBench,MECHANICS,2,0,0,0,16,428
PHYBench_653,PHYBench,ELECTRICITY,2,0,0,0,24,692
PHYBench_654,PHYBench,MECHANICS,1,0,0,0,47,1024
PHYBench_670,PHYBench,ELECTRICITY,1,0,1,1,27,763
PHYBench_674,PHYBench,MECHANICS,4,0,0,0,16,1024
PHYBench_688,PHYBench,ELECTRICITY,3,0,0,0,23,854
PHYBench_702,PHYBench,ELECTRICITY,0,0,1,1,21,1024
PHYBench_708,PHYBench,OPTICS,0,0,0,0,23,556
PHYBench_709,PHYBench,MECHANICS,1,0,0,0,17,482
PHYBench_71,PHYBench,ELECTRICITY,2,0,1,1,24,814
PHYBench_716,PHYBench,MECHANICS,2,0,0,0,19,521
PHYBench_719,PHYBench,THERMODYNAMICS,1,0,1,1,40,1024
PHYBench_72,PHYBench,THERMODYNAMICS,1,0,0,0,9,1024
PHYBench_737,PHYBench,ELECTRICITY,3,0,0,0,26,969
PHYBench_766,PHYBench,MECHANICS,2,0,0,0,27,1024
PHYBench_83,PHYBench,ELECTRICITY,0,0,1,1,14,526
PHYBench_88,PHYBench,MODERN,2,0,0,0,57,453
PHYBench_89,PHYBench,ELECTRICITY,2,0,0,0,36,471
PHYBench_95,PHYBench,MECHANICS,1,0,0,0,36,1024
PhysReason_cal_problem_00069,PhysReason,physics_reasoning,2,0,0,0,10,825
PhysReason_cal_problem_00224,PhysReason,physics_reasoning,1,0,0,0,14,536
PhysReason_cal_problem_00252,PhysReason,physics_reasoning,0,0,0,0,13,235
PhysReason_cal_problem_00272,PhysReason,physics_reasoning,1,0,0,0,8,466
PhysReason_cal_problem_00273,PhysReason,physics_reasoning,0,0,1,1,9,124
PhysReason_cal_problem_00340,PhysReason,physics_reasoning,1,0,0,0,8,362
PhysReason_cal_problem_00346,PhysReason,physics_reasoning,1,0,0,0,16,507
PhysReason_cal_problem_00365,PhysReason,physics_reasoning,0,0,1,1,7,112
PhysReason_cal_problem_00418,PhysReason,physics_reasoning,0,0,1,1,12,248
PhysReason_cal_problem_00419,PhysReason,physics_reasoning,0,1,1,0,10,144
PhysReason_cal_problem_00432,PhysReason,physics_reasoning,0,1,0,-1,8,268
PhysReason_cal_problem_00575,PhysReason,physics_reasoning,0,0,0,0,10,474
PhysReason_cal_problem_00577,PhysReason,physics_reasoning,1,1,1,0,8,383
PhysReason_cal_problem_00665,PhysReason,physics_reasoning,2,0,0,0,18,92
PhysReason_cal_problem_00701,PhysReason,physics_reasoning,0,0,0,0,7,369
PhysReason_cal_problem_00736,PhysReason,physics_reasoning,0,0,0,0,10,334
PhysReason_cal_problem_00840,PhysReason,physics_reasoning,0,0,1,1,21,262
PhysReason_cal_problem_00906,PhysReason,physics_reasoning,0,1,1,0,8,287
PhysReason_cal_problem_00915,PhysReason,physics_reasoning,0,0,1,1,10,185
PhysReason_cal_problem_00945,PhysReason,physics_reasoning,1,0,0,0,9,300
PhysReason_cal_problem_01098,PhysReason,physics_reasoning,0,0,0,0,10,1024
PhysReason_cal_problem_01115,PhysReason,physics_reasoning,0,1,1,0,10,251
PhysReason_cal_problem_01184,PhysReason,physics_reasoning,0,0,0,0,10,1024
PhysReason_cal_problem_01211,PhysReason,physics_reasoning,0,1,1,0,8,129
PhysReason_cal_problem_01276,PhysReason,physics_reasoning,0,0,1,1,8,131
PhysReason_cal_problem_01375,PhysReason,physics_reasoning,0,1,0,-1,8,243
PhysReason_cal_problem_01390,PhysReason,physics_reasoning,2,0,0,0,10,154
PhysReason_cal_problem_01469,PhysReason,physics_reasoning,0,1,0,-1,9,273
PhysReason_cal_problem_01515,PhysReason,physics_reasoning,0,0,1,1,17,169
PhysReason_comp_problem_4,PhysReason,physics_reasoning,0,1,0,-1,8,661
PhysReason_comp_problem_95,PhysReason,physics_reasoning,3,0,0,0,45,789
