item_id,family,d_c,matched_group,question_chars,answer_true,pred,is_correct,solve_error,latency_s
SYN_coll_028_dc3,collision_chain,3,coll_028,320,8.265306,8.27,1,,0.0
SYN_coll_029_dc2,collision_chain,2,coll_029,269,13.75,13.75,1,,0.0
SYN_coll_030_dc1,collision_chain,1,coll_030,264,1.363636,1.36,1,,0.0
SYN_coll_030_dc2,collision_chain,2,coll_030,268,2.727273,2.73,1,,0.0
SYN_coll_029_dc3,collision_chain,3,coll_029,321,9.453125,9.45,1,,0.0
SYN_coll_031_dc1,collision_chain,1,coll_031,264,2.083333,2.08,1,,0.0
SYN_coll_030_dc3,collision_chain,3,coll_030,320,0.371901,0.37,1,,0.0
SYN_coll_031_dc2,collision_chain,2,coll_031,268,4.166667,4.17,1,,0.0
SYN_coll_032_dc1,collision_chain,1,coll_032,264,2.692308,2.69,1,,0.0
SYN_coll_033_dc1,collision_chain,1,coll_033,264,3.214286,3.21,1,,0.0
SYN_coll_031_dc3,collision_chain,3,coll_031,320,0.868056,0.87,1,,0.0
SYN_coll_032_dc3,collision_chain,3,coll_032,320,1.449704,1.45,1,,0.0
SYN_coll_032_dc2,collision_chain,2,coll_032,268,5.384615,5.38,1,,0.0
SYN_coll_033_dc2,collision_chain,2,coll_033,268,6.428571,6.43,1,,0.0
SYN_coll_035_dc1,collision_chain,1,coll_035,264,2.0,2.0,1,,0.0
SYN_coll_035_dc2,collision_chain,2,coll_035,268,4.0,4.0,1,,0.0
SYN_coll_034_dc1,collision_chain,1,coll_034,265,9.428571,9.43,1,,0.0
SYN_coll_033_dc3,collision_chain,3,coll_033,320,2.066327,2.07,1,,0.0
SYN_coll_035_dc3,collision_chain,3,coll_035,320,0.8,0.8,1,,0.0
SYN_coll_036_dc1,collision_chain,1,coll_036,264,3.0,3.0,1,,0.0
SYN_coll_034_dc2,collision_chain,2,coll_034,269,18.857143,18.86,1,,0.0
SYN_coll_034_dc3,collision_chain,3,coll_034,321,17.779592,17.8,1,,0.0
SYN_coll_036_dc3,collision_chain,3,coll_036,320,1.8,1.8,1,,0.0
SYN_coll_036_dc2,collision_chain,2,coll_036,268,6.0,6.0,1,,0.0
SYN_coll_037_dc1,collision_chain,1,coll_037,264,3.818182,3.82,1,,0.0
SYN_coll_037_dc2,collision_chain,2,coll_037,268,7.636364,7.64,1,,0.0
SYN_coll_038_dc1,collision_chain,1,coll_038,264,4.153846,4.15,1,,0.0
SYN_coll_037_dc3,collision_chain,3,coll_037,320,2.915702,2.92,1,,0.0
SYN_coll_038_dc2,collision_chain,2,coll_038,268,8.307692,8.31,1,,0.0
SYN_coll_039_dc1,collision_chain,1,coll_039,265,4.714286,4.71,1,,0.0
SYN_coll_038_dc3,collision_chain,3,coll_038,320,3.450888,3.45,1,,0.0
SYN_coll_040_dc1,collision_chain,1,coll_040,264,2.625,2.625,1,,0.0
SYN_coll_039_dc2,collision_chain,2,coll_039,269,9.428571,9.43,1,,0.0
SYN_coll_040_dc3,collision_chain,3,coll_040,320,1.378125,1.378125,1,,0.0
SYN_coll_040_dc2,collision_chain,2,coll_040,268,5.25,5.25,1,,0.0
SYN_coll_041_dc1,collision_chain,1,coll_041,264,3.888889,3.89,1,,0.0
SYN_coll_042_dc1,collision_chain,1,coll_042,264,4.9,4.9,1,,0.0
SYN_coll_039_dc3,collision_chain,3,coll_039,321,4.444898,4.44,1,,0.0
SYN_coll_041_dc2,collision_chain,2,coll_041,268,7.777778,7.78,1,,0.0
SYN_coll_042_dc2,collision_chain,2,coll_042,268,9.8,9.8,1,,0.0
SYN_coll_041_dc3,collision_chain,3,coll_041,320,3.024691,3.02,1,,0.0
SYN_coll_042_dc3,collision_chain,3,coll_042,320,4.802,4.8,1,,0.0
SYN_coll_043_dc1,collision_chain,1,coll_043,264,5.727273,5.73,1,,0.0
SYN_coll_045_dc1,collision_chain,1,coll_045,264,1.4,1.4,1,,0.0
SYN_coll_044_dc1,collision_chain,1,coll_044,265,6.416667,6.42,1,,0.0
SYN_coll_043_dc2,collision_chain,2,coll_043,268,11.454545,11.45,1,,0.0
SYN_coll_043_dc3,collision_chain,3,coll_043,320,6.560331,6.56,1,,0.0
SYN_coll_044_dc2,collision_chain,2,coll_044,269,12.833333,12.83,1,,0.0
SYN_coll_046_dc1,collision_chain,1,coll_046,264,2.1875,2.1875,1,,0.0
SYN_coll_045_dc3,collision_chain,3,coll_045,320,0.392,0.392,1,,0.0
SYN_coll_044_dc3,collision_chain,3,coll_044,321,8.234722,8.23,1,,0.0
SYN_coll_046_dc2,collision_chain,2,coll_046,268,4.375,4.375,1,,0.0
SYN_coll_047_dc1,collision_chain,1,coll_047,264,6.222222,6.22,1,,0.0
SYN_coll_048_dc1,collision_chain,1,coll_048,264,7.2,7.2,1,,0.0
SYN_coll_047_dc2,collision_chain,2,coll_047,268,12.444444,12.44,1,,0.0
SYN_coll_047_dc3,collision_chain,3,coll_047,320,7.74321,7.74,1,,0.0
SYN_coll_046_dc3,collision_chain,3,coll_046,320,0.957031,0.96,1,,0.0
SYN_coll_049_dc1,collision_chain,1,coll_049,265,8.0,8.0,1,,0.0
SYN_coll_048_dc2,collision_chain,2,coll_048,268,14.4,14.4,1,,0.0
SYN_coll_049_dc2,collision_chain,2,coll_049,269,16.0,16.0,1,,0.0
SYN_coll_049_dc3,collision_chain,3,coll_049,321,12.8,12.8,1,,0.0
SYN_coll_048_dc3,collision_chain,3,coll_048,320,10.368,10.368,1,,0.0
SYN_coll_050_dc1,collision_chain,1,coll_050,264,1.846154,1.85,1,,0.0
SYN_coll_050_dc3,collision_chain,3,coll_050,320,0.681657,0.68,1,,0.0
SYN_coll_051_dc1,collision_chain,1,coll_051,264,2.857143,2.86,1,,0.0
SYN_coll_050_dc2,collision_chain,2,coll_050,268,3.692308,3.69,1,,0.0
SYN_coll_051_dc2,collision_chain,2,coll_051,268,5.714286,5.71,1,,0.0
SYN_coll_052_dc2,collision_chain,2,coll_052,268,7.466667,7.47,1,,0.0
SYN_coll_052_dc1,collision_chain,1,coll_052,264,3.733333,3.73,1,,0.0
SYN_coll_051_dc3,collision_chain,3,coll_051,320,1.632653,1.63,1,,0.0
SYN_coll_053_dc1,collision_chain,1,coll_053,264,4.235294,4.24,1,,0.0
SYN_coll_054_dc1,collision_chain,1,coll_054,265,9.9,9.9,1,,0.0
SYN_coll_052_dc3,collision_chain,3,coll_052,320,2.787556,2.79,1,,0.0
SYN_coll_055_dc1,collision_chain,1,coll_055,264,2.25,2.25,1,,0.0
SYN_coll_053_dc2,collision_chain,2,coll_053,268,8.470588,8.47,1,,0.0
SYN_coll_054_dc2,collision_chain,2,coll_054,269,19.8,19.8,1,,0.0
SYN_coll_053_dc3,collision_chain,3,coll_053,320,3.587543,3.6,1,,0.0
SYN_coll_055_dc2,collision_chain,2,coll_055,268,4.5,4.5,1,,0.0
SYN_coll_054_dc3,collision_chain,3,coll_054,321,19.602,19.6,1,,0.0
SYN_coll_056_dc1,collision_chain,1,coll_056,264,3.461538,3.46,1,,0.0
SYN_coll_055_dc3,collision_chain,3,coll_055,320,1.0125,1.0125,1,,0.0
SYN_coll_057_dc1,collision_chain,1,coll_057,264,4.5,4.5,1,,0.0
SYN_coll_057_dc2,collision_chain,2,coll_057,268,9.0,9.0,1,,0.0
SYN_coll_056_dc2,collision_chain,2,coll_056,268,6.923077,6.92,1,,0.0
SYN_coll_057_dc3,collision_chain,3,coll_057,320,4.05,4.05,1,,0.0
SYN_coll_058_dc1,collision_chain,1,coll_058,264,5.4,5.4,1,,0.0
SYN_coll_056_dc3,collision_chain,3,coll_056,320,2.39645,2.4,1,,0.0
SYN_coll_059_dc1,collision_chain,1,coll_059,265,6.1875,6.1875,1,,0.0
SYN_coll_058_dc2,collision_chain,2,coll_058,268,10.8,10.8,1,,0.0
SYN_coll_059_dc2,collision_chain,2,coll_059,269,12.375,12.375,1,,0.0
SYN_coll_058_dc3,collision_chain,3,coll_058,320,5.832,5.832,1,,0.0
SYN_coll_045_dc2,collision_chain,2,coll_045,268,2.8,,0,"ReadTimeout:HTTPSConnectionPool(host='ark.cn-beijing.volces.com', port=443): Read timed out. (read timeout=300)",0.0
SYN_casc_000_k1,elastic_cascade,2,casc_000,333,5.714286,5.71,1,,0.0
SYN_coll_059_dc3,collision_chain,3,coll_059,321,7.657031,1.005616,0,,0.0
SYN_casc_000_k2,elastic_cascade,4,casc_000,440,4.897959,4.9,1,,0.0
SYN_casc_001_k2,elastic_cascade,4,casc_001,441,14.693878,14.7,1,,0.0
SYN_casc_001_k1,elastic_cascade,2,casc_001,334,17.142857,17.14,1,,0.0
SYN_casc_000_k3,elastic_cascade,6,casc_000,547,3.731778,3.73,1,,0.0
SYN_casc_001_k3,elastic_cascade,6,casc_001,548,11.195335,11.2,1,,0.0
SYN_casc_002_k1,elastic_cascade,2,casc_002,333,13.846154,13.85,1,,0.0
SYN_casc_002_k2,elastic_cascade,4,casc_002,440,11.868132,11.9,1,,0.0
SYN_casc_003_k2,elastic_cascade,4,casc_003,440,8.294931,8.3,1,,0.0
SYN_casc_002_k3,elastic_cascade,6,casc_002,547,9.042386,9.04,1,,0.0
SYN_casc_003_k1,elastic_cascade,2,casc_003,333,9.677419,9.68,1,,0.0
SYN_casc_004_k1,elastic_cascade,2,casc_004,333,5.217391,5.22,1,,0.0
SYN_casc_003_k3,elastic_cascade,6,casc_003,547,6.319947,6.32,1,,0.0
SYN_casc_004_k3,elastic_cascade,6,casc_004,547,3.445135,3.45,1,,0.0
SYN_casc_004_k2,elastic_cascade,4,casc_004,440,3.975155,3.98,1,,0.0
SYN_casc_005_k1,elastic_cascade,2,casc_005,334,15.652174,15.65,1,,0.0
SYN_casc_005_k3,elastic_cascade,6,casc_005,548,10.335404,10.3,1,,0.0
SYN_casc_005_k2,elastic_cascade,4,casc_005,441,11.925466,11.9,1,,0.0
SYN_casc_006_k1,elastic_cascade,2,casc_006,333,12.857143,12.86,1,,0.0
SYN_casc_006_k2,elastic_cascade,4,casc_006,440,9.795918,9.8,1,,0.0
SYN_casc_007_k1,elastic_cascade,2,casc_007,333,9.090909,9.09,1,,0.0
SYN_casc_006_k3,elastic_cascade,6,casc_006,547,8.489796,8.5,1,,0.0
SYN_casc_007_k3,elastic_cascade,6,casc_007,547,6.002886,6.0,1,,0.0
SYN_casc_008_k1,elastic_cascade,2,casc_008,333,4.285714,4.29,1,,0.0
SYN_casc_007_k2,elastic_cascade,4,casc_007,440,6.926407,6.93,1,,0.0
SYN_casc_008_k2,elastic_cascade,4,casc_008,440,3.714286,3.71,1,,0.0
SYN_casc_008_k3,elastic_cascade,6,casc_008,547,3.080139,3.08,1,,0.0
SYN_casc_009_k1,elastic_cascade,2,casc_009,334,12.857143,12.86,1,,0.0
SYN_casc_010_k1,elastic_cascade,2,casc_010,333,10.909091,11.0,1,,0.0
SYN_casc_009_k2,elastic_cascade,4,casc_009,441,11.142857,11.14,1,,0.0
SYN_casc_009_k3,elastic_cascade,6,casc_009,548,9.240418,9.24,1,,0.0
SYN_casc_010_k2,elastic_cascade,4,casc_010,440,9.454545,9.45,1,,0.0
SYN_casc_012_k1,elastic_cascade,2,casc_012,333,3.75,3.75,1,,0.0
SYN_casc_011_k2,elastic_cascade,4,casc_011,440,6.842105,6.84,1,,0.0
SYN_casc_010_k3,elastic_cascade,6,casc_010,547,7.840355,7.8,1,,0.0
SYN_casc_011_k1,elastic_cascade,2,casc_011,333,7.894737,7.89,1,,0.0
SYN_casc_013_k2,elastic_cascade,4,casc_013,441,9.329268,9.33,1,,0.0
SYN_casc_012_k2,elastic_cascade,4,casc_012,440,3.109756,3.11,1,,0.0
SYN_casc_013_k1,elastic_cascade,2,casc_013,334,11.25,11.25,1,,0.0
SYN_casc_011_k3,elastic_cascade,6,casc_011,547,5.673941,5.67,1,,0.0
SYN_casc_014_k1,elastic_cascade,2,casc_014,333,9.72973,9.7,1,,0.0
SYN_casc_012_k3,elastic_cascade,6,casc_012,547,2.816383,2.82,1,,0.0
SYN_casc_015_k1,elastic_cascade,2,casc_015,333,7.142857,7.14,1,,0.0
SYN_casc_014_k3,elastic_cascade,6,casc_014,547,7.307372,7.3,1,,0.0
SYN_casc_014_k2,elastic_cascade,4,casc_014,440,8.068556,8.1,1,,0.0
SYN_casc_013_k3,elastic_cascade,6,casc_013,548,8.449149,8.45,1,,0.0
SYN_casc_015_k2,elastic_cascade,4,casc_015,440,5.923345,5.92,1,,0.0
SYN_casc_015_k3,elastic_cascade,6,casc_015,547,5.364539,5.4,1,,0.0
SYN_casc_016_k2,elastic_cascade,4,casc_016,440,2.786647,2.79,1,,0.0
SYN_casc_016_k3,elastic_cascade,6,casc_016,547,2.606864,2.61,1,,0.0
SYN_casc_016_k1,elastic_cascade,2,casc_016,333,3.076923,3.08,1,,0.0
SYN_casc_017_k1,elastic_cascade,2,casc_017,334,9.230769,9.23,1,,0.0
SYN_casc_018_k1,elastic_cascade,2,casc_018,333,8.181818,8.18,1,,0.0
SYN_casc_019_k1,elastic_cascade,2,casc_019,333,6.122449,6.12,1,,0.0
SYN_casc_017_k3,elastic_cascade,6,casc_017,548,7.820591,7.82,1,,0.0
SYN_casc_017_k2,elastic_cascade,4,casc_017,441,8.359942,8.36,1,,0.0
SYN_casc_018_k2,elastic_cascade,4,casc_018,440,7.409949,7.41,1,,0.0
SYN_casc_018_k3,elastic_cascade,6,casc_018,547,6.931887,6.9,1,,0.0
SYN_casc_020_k1,elastic_cascade,2,casc_020,333,2.727273,2.73,1,,0.0
SYN_casc_019_k2,elastic_cascade,4,casc_019,440,5.544859,5.54,1,,0.0
SYN_casc_019_k3,elastic_cascade,6,casc_019,547,5.187127,5.2,1,,0.0
SYN_casc_020_k3,elastic_cascade,6,casc_020,547,4.209677,4.21,1,,0.0
SYN_casc_020_k2,elastic_cascade,4,casc_020,440,2.55132,2.55,1,,0.0
SYN_casc_022_k1,elastic_cascade,2,casc_022,333,7.346939,7.35,1,,0.0
SYN_casc_021_k1,elastic_cascade,2,casc_021,334,8.181818,8.18,1,,0.0
SYN_casc_021_k3,elastic_cascade,6,casc_021,548,12.629032,12.6,1,,0.0
SYN_casc_021_k2,elastic_cascade,4,casc_021,441,7.653959,7.65,1,,0.0
SYN_casc_022_k2,elastic_cascade,4,casc_022,440,6.872943,6.9,1,,0.0
SYN_casc_022_k3,elastic_cascade,6,casc_022,547,11.340355,11.3,1,,0.0
SYN_casc_023_k1,elastic_cascade,2,casc_023,333,5.555556,5.56,1,,0.0
SYN_casc_024_k1,elastic_cascade,2,casc_024,333,2.5,2.5,1,,0.0
SYN_casc_023_k2,elastic_cascade,4,casc_023,440,5.197133,5.2,1,,0.0
SYN_casc_023_k3,elastic_cascade,6,casc_023,547,8.575269,8.58,1,,0.0
SYN_casc_024_k2,elastic_cascade,4,casc_024,440,4.125,4.125,1,,0.0
SYN_casc_025_k2,elastic_cascade,4,casc_025,441,12.375,12.375,1,,0.0
SYN_casc_025_k1,elastic_cascade,2,casc_025,334,7.5,7.5,1,,0.0
SYN_casc_024_k3,elastic_cascade,6,casc_024,547,2.0625,2.0625,1,,0.0
SYN_casc_026_k1,elastic_cascade,2,casc_026,333,6.792453,6.8,1,,0.0
SYN_casc_027_k1,elastic_cascade,2,casc_027,333,5.172414,5.17,1,,0.0
SYN_casc_025_k3,elastic_cascade,6,casc_025,548,6.1875,6.1875,1,,0.0
SYN_casc_026_k2,elastic_cascade,4,casc_026,440,11.207547,11.2,1,,0.0
SYN_casc_026_k3,elastic_cascade,6,casc_026,547,5.603774,5.6,1,,0.0
SYN_casc_027_k2,elastic_cascade,4,casc_027,440,8.534483,8.53,1,,0.0
SYN_casc_028_k1,elastic_cascade,2,casc_028,333,5.454545,5.45,1,,0.0
SYN_casc_028_k2,elastic_cascade,4,casc_028,440,2.727273,2.73,1,,0.0
SYN_casc_027_k3,elastic_cascade,6,casc_027,547,4.267241,4.27,1,,0.0
SYN_casc_028_k3,elastic_cascade,6,casc_028,547,4.242424,4.24,1,,0.0
SYN_casc_029_k1,elastic_cascade,2,casc_029,334,16.363636,16.36,1,,0.0
SYN_casc_029_k2,elastic_cascade,4,casc_029,441,8.181818,8.18,1,,0.0
SYN_casc_029_k3,elastic_cascade,6,casc_029,548,12.727273,12.73,1,,0.0
