item_id,d_c,is_correct,req_families,used_families,missing_required,ident_ok,failure_stage,resp_chars,solve_error,judge_error
OlympiadBench_863,2,1,momentum,energy;momentum,,1,,2413,,
OlympiadBench_861,1,0,energy,energy,,1,execution,4113,,
OlympiadBench_866,1,0,momentum,momentum,,1,execution,2750,,
OlympiadBench_868,0,0,,,,1,execution,2343,,
OlympiadBench_865,1,0,,angular_momentum;energy,,1,execution,3630,,
OlympiadBench_869,0,1,,,,1,,3778,,
OlympiadBench_872,0,1,,,,1,,1837,,
OlympiadBench_873,0,1,,energy,,1,,1526,,
OlympiadBench_871,0,0,momentum,momentum,,1,execution,3847,,
OlympiadBench_876,1,0,,energy,,1,execution,2363,,
OlympiadBench_870,0,0,,,,1,execution,4621,,
OlympiadBench_877,1,1,,,,1,,1145,,
OlympiadBench_878,0,0,,,,1,execution,1529,,
OlympiadBench_884,1,1,entropy,energy;entropy;mass,,1,,1634,,
OlympiadBench_881,1,1,,energy,,1,,2987,,
OlympiadBench_883,1,1,,,,1,,2986,,
OlympiadBench_885,2,0,,momentum,,1,execution,3386,,
OlympiadBench_888,1,0,,energy,,1,execution,3019,,
OlympiadBench_891,1,0,,energy,,1,execution,2175,,
OlympiadBench_890,0,0,,,,1,execution,4436,,
OlympiadBench_893,1,0,,,,1,execution,4060,,
OlympiadBench_898,0,0,,,,1,execution,2626,,
OlympiadBench_894,1,0,,,,1,execution,4266,,
OlympiadBench_897,2,0,,energy,,1,execution,3135,,
OlympiadBench_899,2,0,energy,energy;momentum,,1,execution,3738,,
OlympiadBench_900,0,0,,,,1,execution,3184,,
OlympiadBench_903,0,1,,energy,,1,,2009,,
OlympiadBench_905,1,1,,energy,,1,,1940,,
OlympiadBench_902,1,0,,energy,,1,execution,3156,,
OlympiadBench_901,1,0,,charge,,1,execution,3487,,
OlympiadBench_908,1,0,,energy,,1,execution,2302,,
OlympiadBench_907,0,0,,,,1,execution,2983,,
OlympiadBench_909,0,0,,,,1,execution,2948,,
OlympiadBench_910,3,0,angular_momentum,angular_momentum;energy,,1,execution,3139,,
OlympiadBench_912,1,0,,energy,,1,execution,2853,,
OlympiadBench_911,0,1,,momentum,,1,,3753,,
OlympiadBench_915,1,0,,,,1,execution,3604,,
OlympiadBench_917,1,0,,angular_momentum;momentum,,1,execution,3759,,
OlympiadBench_919,1,1,,,,1,,2826,,
OlympiadBench_918,0,0,,energy,,1,execution,3750,,
OlympiadBench_922,1,0,entropy,energy,entropy,0,identification,3807,,
OlympiadBench_928,2,0,,energy,,1,execution,2398,,
OlympiadBench_923,1,0,energy,angular_momentum;energy,,1,execution,4000,,
OlympiadBench_936,0,0,,,,1,execution,1142,,
OlympiadBench_926,1,0,,,,1,execution,3855,,
OlympiadBench_939,0,0,,,,1,execution,1174,,
OlympiadBench_929,1,0,,,,1,execution,2888,,
OlympiadBench_940,0,0,,,,1,execution,635,,
OlympiadBench_941,0,1,,,,1,,893,,
OlympiadBench_942,0,1,,,,1,,1192,,
OlympiadBench_944,1,1,,,,1,,1358,,
OlympiadBench_954,0,1,,energy,,1,,1205,,
OlympiadBench_956,1,0,,,,1,execution,932,,
OlympiadBench_949,0,0,,,,1,execution,1759,,
OlympiadBench_947,1,1,,,,1,,2823,,
OlympiadBench_955,0,1,,,,1,,2808,,
OlympiadBench_957,0,0,,,,1,execution,2549,,
OlympiadBench_972,0,0,,,,1,execution,2568,,
OlympiadBench_974,0,0,,,,1,execution,2151,,
OlympiadBench_982,0,1,,,,1,,976,,
OlympiadBench_984,1,0,,,,1,execution,1238,,
OlympiadBench_973,0,0,,,,1,execution,3023,,
OlympiadBench_986,0,0,,,,1,execution,1259,,
OlympiadBench_989,1,0,,angular_momentum;energy,,1,execution,1682,,
OlympiadBench_988,1,1,,,,1,,2119,,
OlympiadBench_985,1,0,,,,1,execution,2212,,
OlympiadBench_987,2,0,,,,1,execution,2456,,
OlympiadBench_1006,1,0,,,,1,execution,1736,,
OlympiadBench_1013,0,0,,,,1,execution,1704,,
OlympiadBench_1016,0,0,,,,1,execution,1662,,
OlympiadBench_1012,0,0,,,,1,execution,3475,,
OlympiadBench_1014,1,0,,,,1,execution,3482,,
OlympiadBench_1017,0,0,,energy,,1,execution,2916,,
OlympiadBench_1050,1,1,,,,1,,1238,,
OlympiadBench_1051,1,0,,energy,,1,execution,1195,,
OlympiadBench_1015,1,0,,,,1,execution,4226,,
OlympiadBench_1053,1,1,,,,1,,1048,,
OlympiadBench_1052,1,0,,energy,,1,execution,1588,,
OlympiadBench_1054,0,,,,,1,,1462,,judge_parse
OlympiadBench_1018,1,0,,energy,,1,execution,3686,,
OlympiadBench_1060,0,1,,energy,,1,,1731,,
OlympiadBench_1065,0,0,,,,1,execution,684,,
OlympiadBench_1062,0,0,,,,1,execution,2058,,
OlympiadBench_1061,0,1,,,,1,,2427,,
OlympiadBench_1064,0,0,,energy,,1,execution,1965,,
OlympiadBench_1063,0,,,,,1,,3325,,judge_parse
OlympiadBench_1067,0,0,,,,1,execution,1335,,
OlympiadBench_1068,1,1,,,,1,,1468,,
OlympiadBench_1069,0,0,,energy,,1,execution,2076,,
OlympiadBench_1066,0,0,,momentum,,1,execution,2869,,
OlympiadBench_1070,1,0,,energy,,1,execution,1810,,
OlympiadBench_1071,1,0,,mass;momentum,,1,execution,1334,,
OlympiadBench_1072,1,1,,,,1,,1819,,
OlympiadBench_1073,1,0,,,,1,execution,2469,,
OlympiadBench_1101,0,0,,,,1,execution,1293,,
OlympiadBench_1097,4,0,,energy,,1,execution,3451,,
OlympiadBench_1098,1,0,energy,energy,,1,execution,2953,,
OlympiadBench_1099,1,0,momentum,,momentum,0,identification,3225,,
PhysReason_cal_problem_00069,2,0,energy,energy;momentum,,1,execution,2882,,
PhysReason_cal_problem_00224,1,1,,mass,,1,,1677,,
PhysReason_cal_problem_00252,0,0,,,,1,execution,1262,,
PhysReason_cal_problem_00273,0,0,,energy,,1,execution,411,,
PhysReason_cal_problem_00272,1,0,,energy,,1,execution,1711,,
PhysReason_cal_problem_00365,0,1,,,,1,,897,,
PhysReason_cal_problem_00418,0,1,,,,1,,1217,,
PhysReason_cal_problem_00346,1,0,energy,energy,,1,execution,1886,,
PhysReason_cal_problem_00340,1,0,,,,1,execution,1804,,
PhysReason_cal_problem_00419,0,1,,,,1,,665,,
PhysReason_cal_problem_00432,0,1,,,,1,,1244,,
PhysReason_cal_problem_00575,0,1,,energy,,1,,1657,,
PhysReason_cal_problem_00665,2,0,,,,1,execution,876,,
PhysReason_cal_problem_00577,1,0,,energy,,1,execution,1172,,
PhysReason_cal_problem_00701,0,0,,,,1,execution,1790,,
PhysReason_cal_problem_00840,0,1,,,,1,,972,,
PhysReason_cal_problem_00915,0,0,,,,1,execution,837,,
PhysReason_cal_problem_00736,0,1,,,,1,,1970,,
PhysReason_cal_problem_00906,0,1,,,,1,,1247,,
PhysReason_cal_problem_00945,1,0,,energy,,1,execution,1503,,
PhysReason_cal_problem_01115,0,0,,,,1,execution,1007,,
PhysReason_cal_problem_01276,0,0,,energy,,1,execution,827,,
PhysReason_cal_problem_01211,0,0,,,,1,execution,963,,
PhysReason_cal_problem_01375,0,0,,,,1,execution,854,,
PhysReason_cal_problem_01390,2,0,,energy,,1,execution,917,,
PhysReason_cal_problem_01184,0,0,momentum,momentum,,1,execution,2231,,
PhysReason_cal_problem_01098,0,0,momentum,momentum,,1,execution,2655,,
PhysReason_cal_problem_01515,0,1,,,,1,,854,,
PhysReason_cal_problem_01469,0,0,,,,1,execution,1408,,
PhysReason_comp_problem_95,3,0,momentum,momentum,,1,execution,2197,,
PhysReason_comp_problem_4,0,0,,,,1,execution,2,,
