item_id,arm,model,intended_dc,measured_dc,correct,grade_method,char_len,digit_count,verbosity,n_distractors,family,group,log_len
SYN_0025,ollama3b,qwen2.5:3b,1,2,1,numeric,281,2,verbose,0,t_descent,CHAIN,5.638354669333745
SYN_0026,ollama3b,qwen2.5:3b,1,2,1,numeric,303,2,verbose,0,t_descent,CHAIN,5.713732805509369
SYN_0027,ollama3b,qwen2.5:3b,1,2,1,numeric,303,2,verbose,0,t_descent,CHAIN,5.713732805509369
SYN_0028,ollama3b,qwen2.5:3b,1,2,1,numeric,273,3,verbose,0,t_descent,CHAIN,5.60947179518496
SYN_0029,ollama3b,qwen2.5:3b,1,2,1,numeric,287,2,verbose,0,t_descent,CHAIN,5.659482215759621
SYN_0030,ollama3b,qwen2.5:3b,1,2,1,numeric,288,2,verbose,0,t_descent,CHAIN,5.662960480135946
SYN_0031,ollama3b,qwen2.5:3b,1,2,1,numeric,385,6,verbose,2,t_descent,CHAIN,5.953243334287785
SYN_0032,ollama3b,qwen2.5:3b,1,2,1,numeric,401,7,verbose,2,t_descent,CHAIN,5.993961427306569
SYN_0033,ollama3b,qwen2.5:3b,1,2,1,numeric,369,5,verbose,2,t_descent,CHAIN,5.910796644040527
SYN_0034,ollama3b,qwen2.5:3b,1,2,1,numeric,404,5,verbose,2,t_descent,CHAIN,6.0014148779611505
SYN_0035,ollama3b,qwen2.5:3b,1,2,1,numeric,395,6,verbose,2,t_descent,CHAIN,5.978885764901122
SYN_0036,ollama3b,qwen2.5:3b,1,2,1,numeric,415,6,verbose,2,t_descent,CHAIN,6.028278520230698
SYN_0037,ollama3b,qwen2.5:3b,1,2,1,numeric,391,6,verbose,2,t_descent,CHAIN,5.968707559985366
SYN_0038,ollama3b,qwen2.5:3b,1,2,1,numeric,375,5,verbose,2,t_descent,CHAIN,5.926926025970411
SYN_0039,ollama3b,qwen2.5:3b,1,2,1,numeric,396,8,verbose,2,t_descent,CHAIN,5.981414211254481
SYN_0040,ollama3b,qwen2.5:3b,1,2,1,numeric,398,5,verbose,2,t_descent,CHAIN,5.986452005284438
SYN_0041,ollama3b,qwen2.5:3b,2,3,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0042,ollama3b,qwen2.5:3b,2,3,1,numeric,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0043,ollama3b,qwen2.5:3b,2,3,0,numeric,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0044,ollama3b,qwen2.5:3b,2,2,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0045,ollama3b,qwen2.5:3b,2,3,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0046,ollama3b,qwen2.5:3b,2,3,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0047,ollama3b,qwen2.5:3b,2,2,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0048,ollama3b,qwen2.5:3b,2,2,1,numeric,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0049,ollama3b,qwen2.5:3b,2,2,1,numeric,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0050,ollama3b,qwen2.5:3b,2,2,0,unparseable,290,3,terse,0,t_descent_inelastic,CHAIN,5.66988092298052
SYN_0051,ollama3b,qwen2.5:3b,2,2,0,unparseable,376,9,terse,2,t_descent_inelastic,CHAIN,5.929589143389895
SYN_0052,ollama3b,qwen2.5:3b,2,2,1,numeric,395,9,terse,2,t_descent_inelastic,CHAIN,5.978885764901122
SYN_0053,ollama3b,qwen2.5:3b,2,2,0,numeric,406,7,terse,2,t_descent_inelastic,CHAIN,6.0063531596017325
SYN_0054,ollama3b,qwen2.5:3b,2,2,0,unparseable,388,7,terse,2,t_descent_inelastic,CHAIN,5.961005339623274
SYN_0055,ollama3b,qwen2.5:3b,2,2,0,unparseable,376,9,terse,2,t_descent_inelastic,CHAIN,5.929589143389895
SYN_0056,ollama3b,qwen2.5:3b,2,2,1,numeric,387,7,terse,2,t_descent_inelastic,CHAIN,5.958424693029782
SYN_0057,ollama3b,qwen2.5:3b,2,2,1,numeric,393,9,terse,2,t_descent_inelastic,CHAIN,5.973809611869261
SYN_0058,ollama3b,qwen2.5:3b,2,2,0,numeric,393,8,terse,2,t_descent_inelastic,CHAIN,5.973809611869261
SYN_0059,ollama3b,qwen2.5:3b,2,2,0,numeric,393,9,terse,2,t_descent_inelastic,CHAIN,5.973809611869261
SYN_0060,ollama3b,qwen2.5:3b,2,3,0,unparseable,369,7,terse,2,t_descent_inelastic,CHAIN,5.910796644040527
SYN_0061,ollama3b,qwen2.5:3b,2,2,1,numeric,419,3,verbose,0,t_descent_inelastic,CHAIN,6.037870919922137
SYN_0062,ollama3b,qwen2.5:3b,2,2,0,numeric,423,3,verbose,0,t_descent_inelastic,CHAIN,6.0473721790462776
SYN_0063,ollama3b,qwen2.5:3b,2,2,1,numeric,434,3,verbose,0,t_descent_inelastic,CHAIN,6.073044534100405
SYN_0064,ollama3b,qwen2.5:3b,2,3,0,unparseable,422,3,verbose,0,t_descent_inelastic,CHAIN,6.045005314036012
SYN_0065,ollama3b,qwen2.5:3b,2,2,0,numeric,419,3,verbose,0,t_descent_inelastic,CHAIN,6.037870919922137
SYN_0066,ollama3b,qwen2.5:3b,2,2,0,numeric,438,3,verbose,0,t_descent_inelastic,CHAIN,6.082218910376446
SYN_0067,ollama3b,qwen2.5:3b,2,2,0,unparseable,419,3,verbose,0,t_descent_inelastic,CHAIN,6.037870919922137
SYN_0068,ollama3b,qwen2.5:3b,2,2,0,numeric,419,3,verbose,0,t_descent_inelastic,CHAIN,6.037870919922137
SYN_0069,ollama3b,qwen2.5:3b,2,2,0,numeric,438,3,verbose,0,t_descent_inelastic,CHAIN,6.082218910376446
SYN_0070,ollama3b,qwen2.5:3b,2,2,0,unparseable,428,3,verbose,0,t_descent_inelastic,CHAIN,6.059123195581797
SYN_0071,ollama3b,qwen2.5:3b,2,3,1,numeric,525,7,verbose,2,t_descent_inelastic,CHAIN,6.263398262591624
SYN_0072,ollama3b,qwen2.5:3b,2,3,0,unparseable,525,6,verbose,2,t_descent_inelastic,CHAIN,6.263398262591624
SYN_0073,ollama3b,qwen2.5:3b,2,2,0,unparseable,550,6,verbose,2,t_descent_inelastic,CHAIN,6.309918278226516
SYN_0074,ollama3b,qwen2.5:3b,2,3,0,unparseable,525,6,verbose,2,t_descent_inelastic,CHAIN,6.263398262591624
SYN_0075,ollama3b,qwen2.5:3b,2,2,1,numeric,522,8,verbose,2,t_descent_inelastic,CHAIN,6.257667587882639
SYN_0076,ollama3b,qwen2.5:3b,2,3,0,numeric,506,7,verbose,2,t_descent_inelastic,CHAIN,6.226536669287466
SYN_0077,ollama3b,qwen2.5:3b,2,3,0,numeric,512,9,verbose,2,t_descent_inelastic,CHAIN,6.238324625039508
SYN_0078,ollama3b,qwen2.5:3b,2,3,0,numeric,502,7,verbose,2,t_descent_inelastic,CHAIN,6.218600119691729
SYN_0079,ollama3b,qwen2.5:3b,2,3,1,numeric,522,7,verbose,2,t_descent_inelastic,CHAIN,6.257667587882639
SYN_0080,ollama3b,qwen2.5:3b,2,3,1,numeric,499,9,verbose,2,t_descent_inelastic,CHAIN,6.212606095751519
SYN_0081,ollama3b,qwen2.5:3b,2,2,0,unparseable,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0082,ollama3b,qwen2.5:3b,2,2,0,numeric,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0083,ollama3b,qwen2.5:3b,2,2,0,numeric,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0084,ollama3b,qwen2.5:3b,2,2,0,unparseable,227,5,terse,0,t_elastic_1d,DIM,5.424950017481403
SYN_0085,ollama3b,qwen2.5:3b,2,2,0,unparseable,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0086,ollama3b,qwen2.5:3b,2,2,0,numeric,227,5,terse,0,t_elastic_1d,DIM,5.424950017481403
SYN_0087,ollama3b,qwen2.5:3b,2,2,0,unparseable,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0088,ollama3b,qwen2.5:3b,2,2,1,numeric,226,4,terse,0,t_elastic_1d,DIM,5.420534999272286
SYN_0089,ollama3b,qwen2.5:3b,2,2,0,unparseable,227,5,terse,0,t_elastic_1d,DIM,5.424950017481403
SYN_0090,ollama3b,qwen2.5:3b,2,2,0,numeric,227,5,terse,0,t_elastic_1d,DIM,5.424950017481403
SYN_0091,ollama3b,qwen2.5:3b,2,2,0,unparseable,329,10,terse,2,t_elastic_1d,DIM,5.796057750765372
SYN_0092,ollama3b,qwen2.5:3b,2,2,0,numeric,323,8,terse,2,t_elastic_1d,DIM,5.777652323222656
SYN_0093,ollama3b,qwen2.5:3b,2,2,0,numeric,329,10,terse,2,t_elastic_1d,DIM,5.796057750765372
SYN_0094,ollama3b,qwen2.5:3b,2,2,0,numeric,324,8,terse,2,t_elastic_1d,DIM,5.780743515792329
SYN_0095,ollama3b,qwen2.5:3b,2,2,0,numeric,325,8,terse,2,t_elastic_1d,DIM,5.783825182329737
SYN_0096,ollama3b,qwen2.5:3b,2,2,0,numeric,326,9,terse,2,t_elastic_1d,DIM,5.786897381366708
SYN_0097,ollama3b,qwen2.5:3b,2,2,0,numeric,325,8,terse,2,t_elastic_1d,DIM,5.783825182329737
SYN_0098,ollama3b,qwen2.5:3b,2,2,0,numeric,306,9,terse,2,t_elastic_1d,DIM,5.723585101952381
SYN_0099,ollama3b,qwen2.5:3b,2,2,0,numeric,342,7,terse,2,t_elastic_1d,DIM,5.834810737062605
SYN_0100,ollama3b,qwen2.5:3b,2,2,0,numeric,342,7,terse,2,t_elastic_1d,DIM,5.834810737062605
SYN_0101,ollama3b,qwen2.5:3b,2,2,0,unparseable,364,4,verbose,0,t_elastic_1d,DIM,5.8971538676367405
SYN_0102,ollama3b,qwen2.5:3b,2,2,0,numeric,370,4,verbose,0,t_elastic_1d,DIM,5.91350300563827
SYN_0103,ollama3b,qwen2.5:3b,2,2,0,numeric,362,4,verbose,0,t_elastic_1d,DIM,5.8916442118257715
SYN_0104,ollama3b,qwen2.5:3b,2,2,0,unparseable,359,4,verbose,0,t_elastic_1d,DIM,5.883322388488279
SYN_0105,ollama3b,qwen2.5:3b,2,2,0,numeric,340,4,verbose,0,t_elastic_1d,DIM,5.8289456176102075
SYN_0106,ollama3b,qwen2.5:3b,2,2,1,numeric,355,4,verbose,0,t_elastic_1d,DIM,5.872117789475416
SYN_0107,ollama3b,qwen2.5:3b,2,2,0,numeric,365,5,verbose,0,t_elastic_1d,DIM,5.8998973535824915
SYN_0108,ollama3b,qwen2.5:3b,2,2,0,unparseable,364,4,verbose,0,t_elastic_1d,DIM,5.8971538676367405
SYN_0109,ollama3b,qwen2.5:3b,2,2,0,numeric,371,5,verbose,0,t_elastic_1d,DIM,5.916202062607435
SYN_0110,ollama3b,qwen2.5:3b,2,2,0,numeric,365,5,verbose,0,t_elastic_1d,DIM,5.8998973535824915
SYN_0111,ollama3b,qwen2.5:3b,2,2,1,numeric,456,8,verbose,2,t_elastic_1d,DIM,6.1224928095143865
SYN_0112,ollama3b,qwen2.5:3b,2,2,0,unparseable,452,9,verbose,2,t_elastic_1d,DIM,6.113682179832232
SYN_0113,ollama3b,qwen2.5:3b,2,2,0,unparseable,480,7,verbose,2,t_elastic_1d,DIM,6.173786103901937
SYN_0114,ollama3b,qwen2.5:3b,2,2,0,numeric,461,8,verbose,2,t_elastic_1d,DIM,6.133398042996649
SYN_0115,ollama3b,qwen2.5:3b,2,2,0,unparseable,464,10,verbose,2,t_elastic_1d,DIM,6.139884552226255
SYN_0116,ollama3b,qwen2.5:3b,2,2,0,numeric,443,7,verbose,2,t_elastic_1d,DIM,6.093569770045136
SYN_0117,ollama3b,qwen2.5:3b,2,2,0,unparseable,471,8,verbose,2,t_elastic_1d,DIM,6.154858094016418
SYN_0118,ollama3b,qwen2.5:3b,2,2,0,numeric,470,7,verbose,2,t_elastic_1d,DIM,6.152732694704104
SYN_0119,ollama3b,qwen2.5:3b,2,2,0,numeric,450,11,verbose,2,t_elastic_1d,DIM,6.1092475827643655
SYN_0120,ollama3b,qwen2.5:3b,2,2,0,unparseable,441,10,verbose,2,t_elastic_1d,DIM,6.089044875446846
SYN_0121,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0122,ollama3b,qwen2.5:3b,3,3,0,numeric,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0123,ollama3b,qwen2.5:3b,3,3,0,numeric,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0124,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0125,ollama3b,qwen2.5:3b,3,3,0,numeric,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0126,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0127,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0128,ollama3b,qwen2.5:3b,3,3,0,numeric,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0129,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0130,ollama3b,qwen2.5:3b,3,3,0,unparseable,465,6,terse,0,t_descent_inelastic_spin,CHAIN,6.142037405587356
SYN_0131,ollama3b,qwen2.5:3b,3,3,0,numeric,561,10,terse,2,t_descent_inelastic_spin,CHAIN,6.329720905522696
SYN_0132,ollama3b,qwen2.5:3b,3,3,0,numeric,568,12,terse,2,t_descent_inelastic_spin,CHAIN,6.342121418721152
SYN_0133,ollama3b,qwen2.5:3b,3,3,0,unparseable,550,12,terse,2,t_descent_inelastic_spin,CHAIN,6.309918278226516
SYN_0134,ollama3b,qwen2.5:3b,3,3,0,numeric,581,9,terse,2,t_descent_inelastic_spin,CHAIN,6.364750756851911
SYN_0135,ollama3b,qwen2.5:3b,3,3,0,unparseable,561,10,terse,2,t_descent_inelastic_spin,CHAIN,6.329720905522696
SYN_0136,ollama3b,qwen2.5:3b,3,3,0,unparseable,561,10,terse,2,t_descent_inelastic_spin,CHAIN,6.329720905522696
SYN_0137,ollama3b,qwen2.5:3b,3,3,0,numeric,568,11,terse,2,t_descent_inelastic_spin,CHAIN,6.342121418721152
SYN_0138,ollama3b,qwen2.5:3b,3,3,0,numeric,561,10,terse,2,t_descent_inelastic_spin,CHAIN,6.329720905522696
SYN_0139,ollama3b,qwen2.5:3b,3,3,0,numeric,561,10,terse,2,t_descent_inelastic_spin,CHAIN,6.329720905522696
SYN_0140,ollama3b,qwen2.5:3b,3,3,0,unparseable,564,10,terse,2,t_descent_inelastic_spin,CHAIN,6.335054251498059
SYN_0141,ollama3b,qwen2.5:3b,3,3,0,unparseable,609,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.411818267709897
SYN_0142,ollama3b,qwen2.5:3b,3,3,0,unparseable,597,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.391917113392602
SYN_0143,ollama3b,qwen2.5:3b,3,3,0,unparseable,588,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.376726947898627
SYN_0144,ollama3b,qwen2.5:3b,3,3,0,unparseable,588,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.376726947898627
SYN_0145,ollama3b,qwen2.5:3b,3,3,0,unparseable,594,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.386879319362645
SYN_0146,ollama3b,qwen2.5:3b,3,3,0,numeric,582,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.366470447731438
SYN_0147,ollama3b,qwen2.5:3b,3,3,0,unparseable,613,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.418364935936212
SYN_0148,ollama3b,qwen2.5:3b,3,3,0,unparseable,613,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.418364935936212
SYN_0149,ollama3b,qwen2.5:3b,3,3,0,unparseable,591,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.3818160174060985
SYN_0150,ollama3b,qwen2.5:3b,3,3,0,numeric,607,6,verbose,0,t_descent_inelastic_spin,CHAIN,6.408528791059498
SYN_0151,ollama3b,qwen2.5:3b,3,3,0,unparseable,708,12,verbose,2,t_descent_inelastic_spin,CHAIN,6.56244409369372
SYN_0152,ollama3b,qwen2.5:3b,3,3,1,numeric,696,10,verbose,2,t_descent_inelastic_spin,CHAIN,6.54534966033442
SYN_0153,ollama3b,qwen2.5:3b,3,3,0,numeric,695,10,verbose,2,t_descent_inelastic_spin,CHAIN,6.543911845564792
SYN_0154,ollama3b,qwen2.5:3b,3,3,0,unparseable,676,10,verbose,2,t_descent_inelastic_spin,CHAIN,6.516193076042964
SYN_0155,ollama3b,qwen2.5:3b,3,3,0,unparseable,693,12,verbose,2,t_descent_inelastic_spin,CHAIN,6.541029999189903
SYN_0156,ollama3b,qwen2.5:3b,3,3,0,unparseable,706,10,verbose,2,t_descent_inelastic_spin,CHAIN,6.559615237493242
SYN_0157,ollama3b,qwen2.5:3b,3,3,0,numeric,723,9,verbose,2,t_descent_inelastic_spin,CHAIN,6.583409222158765
SYN_0158,ollama3b,qwen2.5:3b,3,3,0,unparseable,701,10,verbose,2,t_descent_inelastic_spin,CHAIN,6.55250788703459
SYN_0159,ollama3b,qwen2.5:3b,3,3,0,unparseable,723,9,verbose,2,t_descent_inelastic_spin,CHAIN,6.583409222158765
SYN_0160,ollama3b,qwen2.5:3b,3,3,0,unparseable,694,9,verbose,2,t_descent_inelastic_spin,CHAIN,6.542471960506805
SYN_0161,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0162,ollama3b,qwen2.5:3b,3,3,0,unparseable,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0163,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0164,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0165,ollama3b,qwen2.5:3b,3,3,0,unparseable,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0166,ollama3b,qwen2.5:3b,3,3,0,unparseable,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0167,ollama3b,qwen2.5:3b,3,3,0,unparseable,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0168,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0169,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0170,ollama3b,qwen2.5:3b,3,3,0,numeric,298,5,terse,0,t_elastic_2d_equal,DIM,5.697093486505405
SYN_0171,ollama3b,qwen2.5:3b,3,3,0,unparseable,384,11,terse,2,t_elastic_2d_equal,DIM,5.950642552587727
SYN_0172,ollama3b,qwen2.5:3b,3,3,0,numeric,394,8,terse,2,t_elastic_2d_equal,DIM,5.976350909297934
SYN_0173,ollama3b,qwen2.5:3b,3,3,0,numeric,394,9,terse,2,t_elastic_2d_equal,DIM,5.976350909297934
SYN_0174,ollama3b,qwen2.5:3b,3,3,0,numeric,397,9,terse,2,t_elastic_2d_equal,DIM,5.983936280687191
SYN_0175,ollama3b,qwen2.5:3b,3,3,0,numeric,396,9,terse,2,t_elastic_2d_equal,DIM,5.981414211254481
SYN_0176,ollama3b,qwen2.5:3b,3,3,0,numeric,404,12,terse,2,t_elastic_2d_equal,DIM,6.0014148779611505
SYN_0177,ollama3b,qwen2.5:3b,3,3,0,unparseable,412,8,terse,2,t_elastic_2d_equal,DIM,6.021023349349527
SYN_0178,ollama3b,qwen2.5:3b,3,3,0,numeric,384,11,terse,2,t_elastic_2d_equal,DIM,5.950642552587727
SYN_0179,ollama3b,qwen2.5:3b,3,3,0,numeric,401,10,terse,2,t_elastic_2d_equal,DIM,5.993961427306569
SYN_0180,ollama3b,qwen2.5:3b,3,3,1,numeric,384,11,terse,2,t_elastic_2d_equal,DIM,5.950642552587727
SYN_0181,ollama3b,qwen2.5:3b,3,3,0,numeric,422,6,verbose,0,t_elastic_2d_equal,DIM,6.045005314036012
SYN_0182,ollama3b,qwen2.5:3b,3,3,0,numeric,421,5,verbose,0,t_elastic_2d_equal,DIM,6.042632833682381
SYN_0183,ollama3b,qwen2.5:3b,3,3,0,numeric,436,5,verbose,0,t_elastic_2d_equal,DIM,6.077642243349034
SYN_0184,ollama3b,qwen2.5:3b,3,3,0,numeric,430,5,verbose,0,t_elastic_2d_equal,DIM,6.063785208687608
SYN_0185,ollama3b,qwen2.5:3b,3,3,0,unparseable,425,6,verbose,0,t_elastic_2d_equal,DIM,6.052089168924417
SYN_0186,ollama3b,qwen2.5:3b,3,3,0,numeric,424,5,verbose,0,t_elastic_2d_equal,DIM,6.049733455231958
SYN_0187,ollama3b,qwen2.5:3b,3,3,0,unparseable,412,5,verbose,0,t_elastic_2d_equal,DIM,6.021023349349527
SYN_0188,ollama3b,qwen2.5:3b,3,3,0,unparseable,431,6,verbose,0,t_elastic_2d_equal,DIM,6.066108090103747
SYN_0189,ollama3b,qwen2.5:3b,3,3,0,unparseable,447,6,verbose,0,t_elastic_2d_equal,DIM,6.102558594613569
SYN_0190,ollama3b,qwen2.5:3b,3,3,0,unparseable,450,5,verbose,0,t_elastic_2d_equal,DIM,6.1092475827643655
SYN_0191,ollama3b,qwen2.5:3b,3,3,0,numeric,517,8,verbose,2,t_elastic_2d_equal,DIM,6.248042874508429
SYN_0192,ollama3b,qwen2.5:3b,3,3,0,unparseable,526,9,verbose,2,t_elastic_2d_equal,DIM,6.26530121273771
SYN_0193,ollama3b,qwen2.5:3b,3,3,0,numeric,494,9,verbose,2,t_elastic_2d_equal,DIM,6.202535517187923
SYN_0194,ollama3b,qwen2.5:3b,3,3,0,numeric,527,12,verbose,2,t_elastic_2d_equal,DIM,6.267200548541362
SYN_0195,ollama3b,qwen2.5:3b,3,3,0,numeric,532,8,verbose,2,t_elastic_2d_equal,DIM,6.2766434893416445
SYN_0196,ollama3b,qwen2.5:3b,3,3,0,numeric,518,8,verbose,2,t_elastic_2d_equal,DIM,6.249975242259483
SYN_0197,ollama3b,qwen2.5:3b,3,3,0,numeric,554,8,verbose,2,t_elastic_2d_equal,DIM,6.317164686747284
SYN_0198,ollama3b,qwen2.5:3b,3,3,0,unparseable,515,9,verbose,2,t_elastic_2d_equal,DIM,6.244166900663736
SYN_0199,ollama3b,qwen2.5:3b,3,3,0,numeric,515,9,verbose,2,t_elastic_2d_equal,DIM,6.244166900663736
SYN_0200,ollama3b,qwen2.5:3b,3,3,0,unparseable,537,12,verbose,2,t_elastic_2d_equal,DIM,6.285998094508865
SYN_0201,ollama3b,qwen2.5:3b,3,3,0,numeric,283,8,terse,0,t_elastic_2d_unequal,DIM,5.645446897643238
SYN_0202,ollama3b,qwen2.5:3b,3,3,0,numeric,283,8,terse,0,t_elastic_2d_unequal,DIM,5.645446897643238
SYN_0203,ollama3b,qwen2.5:3b,3,3,0,numeric,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0204,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0205,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0206,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0207,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0208,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
SYN_0209,ollama3b,qwen2.5:3b,3,3,0,numeric,283,8,terse,0,t_elastic_2d_unequal,DIM,5.645446897643238
SYN_0210,ollama3b,qwen2.5:3b,3,3,0,unparseable,282,7,terse,0,t_elastic_2d_unequal,DIM,5.641907070938114
